Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.2477,0.4405,0.4618,0.4440,0.4416
1,val,1.1394,0.8685,0.8796,0.8685,0.8580
2,train,1.6877,0.6203,0.4679,0.4684,0.4672
2,val,0.9063,0.9143,0.9164,0.9143,0.9143
3,train,1.5905,0.6638,0.4656,0.4651,0.4648
3,val,0.8566,0.9129,0.9252,0.9129,0.9076
4,train,1.5616,0.6474,0.6028,0.6047,0.6030
4,val,0.8491,0.9321,0.9336,0.9321,0.9289
5,train,1.5589,0.6455,0.5180,0.5183,0.5178
5,val,0.8386,0.9261,0.9305,0.9261,0.9258
6,train,1.5085,0.6810,0.6256,0.6269,0.6257
6,val,0.8236,0.9291,0.9315,0.9291,0.9294
7,train,1.5371,0.6483,0.5206,0.5216,0.5203
7,val,0.8576,0.9350,0.9371,0.9350,0.9333
8,train,1.4438,0.6817,0.5426,0.5441,0.5427
8,val,0.7994,0.9380,0.9398,0.9380,0.9347
9,train,1.4036,0.6916,0.5457,0.5471,0.5460
9,val,0.8247,0.9335,0.9363,0.9335,0.9336
10,train,1.4160,0.6995,0.6344,0.6347,0.6339
10,val,0.8054,0.9468,0.9480,0.9468,0.9470
11,train,1.4780,0.6621,0.5332,0.5345,0.5334
11,val,0.8552,0.9261,0.9379,0.9261,0.9215
12,train,1.3791,0.6975,0.5408,0.5412,0.5404
12,val,0.8067,0.9409,0.9413,0.9409,0.9408
13,train,1.3264,0.7066,0.6109,0.6110,0.6105
13,val,0.8066,0.9335,0.9351,0.9335,0.9336
14,train,1.3921,0.6740,0.5108,0.5109,0.5106
14,val,0.7878,0.9527,0.9530,0.9527,0.9524
15,train,1.2893,0.7310,0.5066,0.5068,0.5064
15,val,0.8459,0.9335,0.9416,0.9335,0.9306
16,train,1.3624,0.6878,0.6047,0.6051,0.6044
16,val,0.8089,0.9439,0.9501,0.9439,0.9432
17,train,1.3563,0.7079,0.5788,0.5789,0.5781
17,val,0.8194,0.9483,0.9526,0.9483,0.9481
18,train,1.3106,0.7020,0.5720,0.5719,0.5715
18,val,0.8112,0.9424,0.9483,0.9424,0.9417
19,train,1.3681,0.6788,0.6049,0.6055,0.6043
19,val,0.7956,0.9498,0.9560,0.9498,0.9493
20,train,1.2960,0.7266,0.5418,0.5423,0.5414
20,val,0.7852,0.9468,0.9477,0.9468,0.9448
21,train,1.2986,0.7335,0.5239,0.5235,0.5233
21,val,0.7786,0.9542,0.9550,0.9542,0.9543
22,train,1.3230,0.6957,0.5312,0.5312,0.5308
22,val,0.7966,0.9498,0.9516,0.9498,0.9498
23,train,1.3149,0.7115,0.5544,0.5541,0.5538
23,val,0.7914,0.9468,0.9499,0.9468,0.9468
24,train,1.2419,0.7456,0.6559,0.6553,0.6553
24,val,0.8184,0.9453,0.9534,0.9453,0.9437
25,train,1.2808,0.6919,0.5508,0.5504,0.5503
25,val,0.8043,0.9483,0.9529,0.9483,0.9479
26,train,1.2905,0.7061,0.5878,0.5874,0.5873
26,val,0.8127,0.9498,0.9562,0.9498,0.9489
27,train,1.2292,0.7440,0.5940,0.5936,0.5935
27,val,0.7918,0.9513,0.9624,0.9513,0.9497
28,train,1.2087,0.7738,0.5907,0.5911,0.5907
28,val,0.7690,0.9542,0.9577,0.9542,0.9540
29,train,1.2746,0.7118,0.6293,0.6291,0.6290
29,val,0.7906,0.9513,0.9544,0.9513,0.9511
30,train,1.2249,0.7440,0.4527,0.4533,0.4527
30,val,0.8290,0.9513,0.9598,0.9513,0.9497
31,train,1.2530,0.7209,0.5339,0.5342,0.5337
31,val,0.7607,0.9601,0.9609,0.9601,0.9602
32,train,1.2780,0.7260,0.5608,0.5608,0.5603
32,val,0.8047,0.9483,0.9523,0.9483,0.9480
33,train,1.2856,0.6860,0.5473,0.5475,0.5468
