Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.3923,0.3597,0.3434,0.3258,0.3188
1,val,1.5865,0.7430,0.7863,0.7430,0.7422
2,train,1.8713,0.5493,0.5715,0.5700,0.5672
2,val,1.1436,0.8685,0.8807,0.8685,0.8627
3,train,1.7501,0.5802,0.5795,0.5774,0.5765
3,val,0.9994,0.9084,0.9092,0.9084,0.9065
4,train,1.5642,0.6451,0.5432,0.5430,0.5419
4,val,0.8945,0.9217,0.9237,0.9217,0.9210
5,train,1.5420,0.6466,0.5590,0.5600,0.5586
5,val,0.8370,0.9291,0.9301,0.9291,0.9292
6,train,1.5157,0.6645,0.6500,0.6505,0.6493
6,val,0.8095,0.9350,0.9374,0.9350,0.9348
7,train,1.5245,0.6540,0.5200,0.5220,0.5205
7,val,0.8262,0.9365,0.9368,0.9365,0.9349
8,train,1.5176,0.6462,0.5145,0.5157,0.5144
8,val,0.8469,0.9276,0.9289,0.9276,0.9275
9,train,1.4859,0.6657,0.5875,0.5892,0.5878
9,val,0.8413,0.9261,0.9284,0.9261,0.9264
10,train,1.4347,0.6816,0.5589,0.5589,0.5585
10,val,0.7906,0.9424,0.9457,0.9424,0.9421
11,train,1.4385,0.6780,0.6210,0.6225,0.6213
11,val,0.8102,0.9365,0.9454,0.9365,0.9328
12,train,1.4461,0.6828,0.4943,0.4958,0.4946
12,val,0.8443,0.9394,0.9504,0.9394,0.9353
13,train,1.4324,0.6781,0.4977,0.4980,0.4974
13,val,0.8395,0.9306,0.9349,0.9306,0.9272
14,train,1.4048,0.6814,0.5186,0.5187,0.5181
14,val,0.8158,0.9394,0.9408,0.9394,0.9358
15,train,1.3903,0.6933,0.5829,0.5829,0.5823
15,val,0.8216,0.9335,0.9376,0.9335,0.9317
16,train,1.2673,0.7515,0.6491,0.6487,0.6482
16,val,0.7877,0.9453,0.9460,0.9453,0.9453
17,train,1.3780,0.6754,0.5051,0.5061,0.5051
17,val,0.8162,0.9350,0.9386,0.9350,0.9336
18,train,1.3318,0.7220,0.7154,0.7148,0.7146
18,val,0.8193,0.9424,0.9436,0.9424,0.9426
19,train,1.3459,0.7046,0.5728,0.5722,0.5720
19,val,0.8138,0.9380,0.9401,0.9380,0.9372
20,train,1.3243,0.7254,0.5673,0.5678,0.5673
20,val,0.7983,0.9439,0.9443,0.9439,0.9438
21,train,1.3355,0.6811,0.6258,0.6254,0.6253
21,val,0.8068,0.9424,0.9433,0.9424,0.9424
22,train,1.3357,0.6927,0.5579,0.5578,0.5576
22,val,0.8316,0.9350,0.9415,0.9350,0.9316
23,train,1.2949,0.7207,0.4791,0.4791,0.4789
23,val,0.8081,0.9394,0.9404,0.9394,0.9393
24,train,1.3743,0.6806,0.5389,0.5401,0.5390
24,val,0.8155,0.9321,0.9343,0.9321,0.9312
25,train,1.2404,0.7319,0.5892,0.5896,0.5892
25,val,0.7837,0.9394,0.9400,0.9394,0.9394
26,train,1.2606,0.7213,0.6260,0.6254,0.6254
26,val,0.8223,0.9409,0.9499,0.9409,0.9371
27,train,1.3326,0.6879,0.6322,0.6324,0.6318
27,val,0.7965,0.9439,0.9444,0.9439,0.9437
28,train,1.3164,0.7093,0.6714,0.6712,0.6706
28,val,0.8084,0.9424,0.9432,0.9424,0.9424
29,train,1.3177,0.6874,0.4888,0.4891,0.4886
29,val,0.8132,0.9394,0.9438,0.9394,0.9376
30,train,1.2130,0.7439,0.6124,0.6121,0.6119
30,val,0.7876,0.9527,0.9532,0.9527,0.9527
31,train,1.2467,0.7132,0.4374,0.4374,0.4371
31,val,0.8008,0.9468,0.9489,0.9468,0.9466
32,train,1.3136,0.6870,0.5078,0.5079,0.5072
32,val,0.8054,0.9424,0.9459,0.9424,0.9411
33,train,1.2653,0.7039,0.5230,0.5231,0.5225
33,val,0.8116,0.9394,0.9407,0.9394,0.9393
34,train,1.3047,0.6985,0.4628,0.4632,0.4626
34,val,0.8178,0.9453,0.9459,0.9453,0.9453
35,train,1.2305,0.7564,0.6113,0.6110,0.6111
35,val,0.8090,0.9453,0.9465,0.9453,0.9452
36,train,1.2478,0.7096,0.6207,0.6210,0.6204
36,val,0.7865,0.9468,0.9490,0.9468,0.9463
37,train,1.2714,0.7007,0.5932,0.5929,0.5927
37,val,0.8006,0.9424,0.9431,0.9424,0.9425
38,train,1.2741,0.7228,0.5508,0.5508,0.5505
38,val,0.8343,0.9453,0.9503,0.9453,0.9437
39,train,1.2435,0.7170,0.5867,0.5870,0.5866
39,val,0.8206,0.9424,0.9499,0.9424,0.9401
40,train,1.2839,0.6959,0.5186,0.5187,0.5183
40,val,0.7926,0.9468,0.9473,0.9468,0.9466
41,train,1.2296,0.7202,0.6083,0.6077,0.6076
41,val,0.8018,0.9483,0.9496,0.9483,0.9464
42,train,1.2823,0.7087,0.5433,0.5438,0.5431
42,val,0.8141,0.9424,0.9430,0.9424,0.9423
43,train,1.2359,0.7392,0.5392,0.5393,0.5391
43,val,0.8247,0.9439,0.9441,0.9439,0.9438
44,train,1.2035,0.7209,0.5844,0.5837,0.5836
44,val,0.8147,0.9498,0.9514,0.9498,0.9495
45,train,1.3034,0.6790,0.4484,0.4488,0.4481
45,val,0.8275,0.9424,0.9447,0.9424,0.9414
46,train,1.1964,0.7214,0.6355,0.6354,0.6351
46,val,0.7723,0.9498,0.9500,0.9498,0.9495
47,train,1.2853,0.7220,0.6265,0.6265,0.6259
47,val,0.8021,0.9483,0.9486,0.9483,0.9482
48,train,1.2585,0.7166,0.5647,0.5648,0.5646
48,val,0.8063,0.9468,0.9470,0.9468,0.9467
49,train,1.2472,0.7266,0.5932,0.5936,0.5931
49,val,0.8260,0.9409,0.9425,0.9409,0.9405
