Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.0364,0.4878,0.4810,0.4640,0.4625
1,val,1.0010,0.8789,0.9128,0.8789,0.8675
2,train,1.5278,0.6895,0.6264,0.6269,0.6259
2,val,0.8206,0.9394,0.9423,0.9394,0.9396
3,train,1.5806,0.6369,0.5654,0.5667,0.5656
3,val,0.8652,0.9394,0.9414,0.9394,0.9397
4,train,1.5554,0.6323,0.5561,0.5582,0.5566
4,val,0.8828,0.9276,0.9338,0.9276,0.9276
5,train,1.5248,0.6404,0.6520,0.6539,0.6524
5,val,0.7900,0.9513,0.9573,0.9513,0.9509
6,train,1.4183,0.6939,0.5870,0.5881,0.5872
6,val,0.7797,0.9409,0.9488,0.9409,0.9392
7,train,1.4347,0.6732,0.5860,0.5866,0.5856
7,val,0.8008,0.9409,0.9501,0.9409,0.9393
8,train,1.2339,0.7734,0.6921,0.6923,0.6917
8,val,0.7524,0.9527,0.9537,0.9527,0.9510
9,train,1.3803,0.6583,0.6101,0.6106,0.6100
9,val,0.7479,0.9586,0.9596,0.9586,0.9588
10,train,1.3480,0.7000,0.5620,0.5626,0.5616
10,val,0.7900,0.9483,0.9489,0.9483,0.9480
11,train,1.3899,0.6617,0.4690,0.4703,0.4688
11,val,0.7697,0.9527,0.9534,0.9527,0.9526
12,train,1.3948,0.6634,0.5426,0.5427,0.5420
12,val,0.7740,0.9527,0.9536,0.9527,0.9528
13,train,1.3365,0.6747,0.6390,0.6391,0.6385
13,val,0.8413,0.9424,0.9537,0.9424,0.9399
14,train,1.2694,0.7166,0.6604,0.6609,0.6599
14,val,0.8104,0.9453,0.9519,0.9453,0.9443
15,train,1.3273,0.6502,0.5989,0.5977,0.5970
15,val,0.7797,0.9572,0.9573,0.9572,0.9566
16,train,1.3044,0.6970,0.5310,0.5312,0.5307
16,val,0.7786,0.9513,0.9552,0.9513,0.9511
17,train,1.2613,0.7279,0.5477,0.5475,0.5470
17,val,0.7784,0.9586,0.9589,0.9586,0.9585
18,train,1.2365,0.7417,0.6393,0.6395,0.6392
18,val,0.7555,0.9645,0.9657,0.9645,0.9647
19,train,1.3025,0.6929,0.5129,0.5135,0.5125
19,val,0.7957,0.9557,0.9597,0.9557,0.9556
20,train,1.2506,0.7172,0.5671,0.5670,0.5668
20,val,0.7589,0.9572,0.9586,0.9572,0.9563
21,train,1.2121,0.7541,0.6686,0.6683,0.6681
21,val,0.8255,0.9380,0.9439,0.9380,0.9389
22,train,1.2853,0.6736,0.5499,0.5497,0.5493
22,val,0.7702,0.9513,0.9552,0.9513,0.9512
23,train,1.2192,0.6988,0.4685,0.4680,0.4678
23,val,0.7779,0.9498,0.9523,0.9498,0.9500
24,train,1.2244,0.6990,0.5858,0.5863,0.5857
24,val,0.8224,0.9483,0.9505,0.9483,0.9486
25,train,1.2910,0.6961,0.5472,0.5471,0.5465
25,val,0.7822,0.9498,0.9512,0.9498,0.9500
26,train,1.1959,0.7341,0.5723,0.5722,0.5720
26,val,0.7568,0.9542,0.9634,0.9542,0.9531
27,train,1.2107,0.7307,0.5558,0.5560,0.5555
27,val,0.7677,0.9601,0.9615,0.9601,0.9603
28,train,1.2176,0.7590,0.6764,0.6764,0.6761
28,val,0.7962,0.9498,0.9510,0.9498,0.9499
29,train,1.1884,0.7269,0.5941,0.5940,0.5936
29,val,0.7852,0.9439,0.9497,0.9439,0.9430
30,train,1.2542,0.7169,0.5093,0.5098,0.5093
30,val,0.8299,0.9453,0.9491,0.9453,0.9453
31,train,1.1967,0.7048,0.5210,0.5209,0.5207
31,val,0.7905,0.9439,0.9493,0.9439,0.9435
32,train,1.2511,0.6921,0.3753,0.3761,0.3755
32,val,0.7742,0.9527,0.9532,0.9527,0.9527
33,train,1.2013,0.7354,0.5909,0.5907,0.5905
33,val,0.7988,0.9453,0.9462,0.9453,0.9445
34,train,1.2774,0.7017,0.5417,0.5408,0.5408
34,val,0.7856,0.9572,0.9576,0.9572,0.9572
Evaluation Metrics:
Accuracy: 0.9586, Precision: 0.9596, Recall: 0.9586, F1 Score: 0.9588

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7075, Precision: 0.8471, Recall: 0.7075, F1 Score: 0.7025
Model Summary:
Total params: 111069448
Trainable params: 111069448
