Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.3552,0.3934,0.3515,0.3443,0.3367
1,val,1.5919,0.7607,0.8096,0.7607,0.7552
2,train,1.8608,0.5502,0.5066,0.5072,0.5049
2,val,1.1153,0.8789,0.8872,0.8789,0.8795
3,train,1.6444,0.6455,0.4951,0.4958,0.4945
3,val,0.9440,0.9321,0.9337,0.9321,0.9316
4,train,1.6147,0.6412,0.5670,0.5689,0.5674
4,val,0.8664,0.9261,0.9267,0.9261,0.9254
5,train,1.5294,0.6735,0.5787,0.5789,0.5782
5,val,0.8773,0.9247,0.9372,0.9247,0.9142
6,train,1.6039,0.6243,0.6544,0.6542,0.6524
6,val,0.8376,0.9483,0.9493,0.9483,0.9483
7,train,1.5211,0.6595,0.4801,0.4813,0.4804
7,val,0.8173,0.9498,0.9560,0.9498,0.9470
8,train,1.4865,0.6652,0.5391,0.5393,0.5385
8,val,0.7903,0.9483,0.9483,0.9483,0.9481
9,train,1.4360,0.6959,0.5427,0.5434,0.5426
9,val,0.8021,0.9483,0.9555,0.9483,0.9470
10,train,1.4650,0.6576,0.5829,0.5829,0.5823
10,val,0.7782,0.9542,0.9555,0.9542,0.9532
11,train,1.4901,0.6410,0.6689,0.6694,0.6680
11,val,0.8337,0.9483,0.9516,0.9483,0.9477
12,train,1.4246,0.7010,0.6050,0.6055,0.6048
12,val,0.7911,0.9572,0.9571,0.9572,0.9569
13,train,1.3493,0.7020,0.5206,0.5201,0.5200
13,val,0.8102,0.9498,0.9564,0.9498,0.9480
14,train,1.3898,0.6836,0.4984,0.4987,0.4981
14,val,0.7849,0.9557,0.9557,0.9557,0.9551
15,train,1.4167,0.6809,0.5773,0.5778,0.5769
15,val,0.7953,0.9542,0.9560,0.9542,0.9540
16,train,1.3740,0.6958,0.5278,0.5275,0.5272
16,val,0.7844,0.9557,0.9558,0.9557,0.9555
17,train,1.3894,0.6813,0.5696,0.5696,0.5686
17,val,0.8262,0.9439,0.9534,0.9439,0.9405
18,train,1.2889,0.7174,0.5826,0.5829,0.5823
18,val,0.7570,0.9601,0.9609,0.9601,0.9599
19,train,1.3249,0.6930,0.5051,0.5054,0.5049
19,val,0.8223,0.9439,0.9540,0.9439,0.9393
20,train,1.3196,0.7026,0.5965,0.5962,0.5958
20,val,0.7825,0.9557,0.9586,0.9557,0.9554
21,train,1.3549,0.6998,0.5815,0.5807,0.5808
21,val,0.7709,0.9631,0.9654,0.9631,0.9629
22,train,1.3333,0.7293,0.5385,0.5382,0.5381
22,val,0.7712,0.9616,0.9620,0.9616,0.9615
23,train,1.3545,0.6749,0.4536,0.4540,0.4535
23,val,0.8071,0.9527,0.9571,0.9527,0.9519
24,train,1.2661,0.7437,0.6726,0.6720,0.6716
24,val,0.7693,0.9675,0.9688,0.9675,0.9675
25,train,1.2477,0.7331,0.5665,0.5663,0.5661
25,val,0.7626,0.9690,0.9695,0.9690,0.9690
26,train,1.2963,0.7208,0.5588,0.5582,0.5579
26,val,0.7716,0.9690,0.9690,0.9690,0.9689
27,train,1.3629,0.6419,0.5752,0.5748,0.5745
27,val,0.7627,0.9705,0.9706,0.9705,0.9703
28,train,1.3339,0.6867,0.5231,0.5231,0.5228
28,val,0.7840,0.9601,0.9617,0.9601,0.9601
29,train,1.3199,0.6961,0.5756,0.5748,0.5746
29,val,0.8344,0.9424,0.9528,0.9424,0.9365
30,train,1.2135,0.7606,0.4824,0.4821,0.4821
30,val,0.7805,0.9557,0.9621,0.9557,0.9546
31,train,1.3101,0.6940,0.5431,0.5427,0.5426
31,val,0.7713,0.9631,0.9636,0.9631,0.9630
32,train,1.3189,0.6802,0.5856,0.5859,0.5854
32,val,0.7919,0.9631,0.9654,0.9631,0.9629
33,train,1.2555,0.7172,0.5699,0.5704,0.5698
33,val,0.7737,0.9601,0.9611,0.9601,0.9601
34,train,1.2657,0.7410,0.4308,0.4307,0.4306
34,val,0.8007,0.9645,0.9651,0.9645,0.9645
35,train,1.2430,0.7303,0.5893,0.5896,0.5891
35,val,0.7822,0.9660,0.9681,0.9660,0.9658
36,train,1.2271,0.7266,0.5765,0.5767,0.5763
