Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.2343,0.4265,0.3884,0.3761,0.3734
1,val,1.0610,0.8759,0.8777,0.8759,0.8706
2,train,1.7193,0.6115,0.6027,0.6036,0.6017
2,val,0.8801,0.9173,0.9201,0.9173,0.9176
3,train,1.6702,0.6079,0.5959,0.5977,0.5963
3,val,0.8611,0.9335,0.9438,0.9335,0.9323
4,train,1.5631,0.6653,0.5934,0.5948,0.5934
4,val,0.8279,0.9394,0.9376,0.9394,0.9362
5,train,1.5467,0.6387,0.5364,0.5382,0.5367
5,val,0.8112,0.9335,0.9491,0.9335,0.9300
6,train,1.5060,0.6645,0.5936,0.5948,0.5935
6,val,0.7967,0.9439,0.9506,0.9439,0.9434
7,train,1.5753,0.6234,0.5695,0.5715,0.5694
7,val,0.8824,0.9188,0.8999,0.9188,0.9046
8,train,1.4612,0.7027,0.5985,0.5981,0.5973
8,val,0.8224,0.9202,0.9325,0.9202,0.9147
9,train,1.4191,0.6950,0.6087,0.6092,0.6084
9,val,0.7897,0.9380,0.9423,0.9380,0.9377
10,train,1.3999,0.6720,0.6252,0.6262,0.6243
10,val,0.7901,0.9394,0.9479,0.9394,0.9382
11,train,1.4812,0.6388,0.5854,0.5851,0.5843
11,val,0.7911,0.9513,0.9550,0.9513,0.9512
12,train,1.4170,0.6859,0.6650,0.6642,0.6638
12,val,0.7864,0.9439,0.9487,0.9439,0.9437
13,train,1.4350,0.6614,0.5394,0.5405,0.5393
13,val,0.7722,0.9542,0.9548,0.9542,0.9533
14,train,1.3224,0.7114,0.4996,0.4994,0.4992
14,val,0.7673,0.9542,0.9577,0.9542,0.9547
15,train,1.4151,0.6598,0.5148,0.5153,0.5145
15,val,0.7788,0.9498,0.9504,0.9498,0.9493
16,train,1.3796,0.7041,0.6470,0.6476,0.6465
16,val,0.7794,0.9527,0.9544,0.9527,0.9528
17,train,1.3495,0.7050,0.5501,0.5508,0.5501
17,val,0.7471,0.9586,0.9600,0.9586,0.9587
18,train,1.3718,0.6965,0.4732,0.4728,0.4725
18,val,0.7864,0.9527,0.9543,0.9527,0.9526
19,train,1.3077,0.7501,0.5484,0.5489,0.5484
19,val,0.7714,0.9527,0.9550,0.9527,0.9529
20,train,1.2964,0.7399,0.5824,0.5826,0.5822
20,val,0.8100,0.9542,0.9558,0.9542,0.9521
21,train,1.2870,0.7234,0.5545,0.5537,0.5535
21,val,0.7788,0.9557,0.9568,0.9557,0.9559
22,train,1.3223,0.7000,0.5701,0.5700,0.5694
22,val,0.7854,0.9601,0.9628,0.9601,0.9587
23,train,1.3448,0.6918,0.5323,0.5323,0.5319
23,val,0.8050,0.9513,0.9528,0.9513,0.9501
24,train,1.2885,0.7176,0.6637,0.6638,0.6634
24,val,0.7889,0.9483,0.9541,0.9483,0.9479
25,train,1.3062,0.6820,0.4167,0.4182,0.4169
25,val,0.7661,0.9601,0.9604,0.9601,0.9598
26,train,1.2867,0.6869,0.5632,0.5630,0.5628
26,val,0.7535,0.9586,0.9591,0.9586,0.9579
27,train,1.2574,0.7150,0.5161,0.5157,0.5157
27,val,0.7832,0.9601,0.9609,0.9601,0.9603
28,train,1.2215,0.7425,0.5879,0.5877,0.5874
28,val,0.7920,0.9542,0.9534,0.9542,0.9534
29,train,1.2731,0.7079,0.6057,0.6055,0.6053
29,val,0.7658,0.9527,0.9524,0.9527,0.9522
30,train,1.2077,0.7523,0.5836,0.5829,0.5831
30,val,0.7505,0.9557,0.9591,0.9557,0.9558
31,train,1.2618,0.7062,0.5608,0.5600,0.5601
31,val,0.7816,0.9542,0.9547,0.9542,0.9541
32,train,1.2878,0.7079,0.4096,0.4097,0.4093
32,val,0.7982,0.9542,0.9549,0.9542,0.9539
33,train,1.2471,0.7229,0.5313,0.5316,0.5313
33,val,0.7529,0.9572,0.9570,0.9572,0.9569
34,train,1.2245,0.7526,0.5058,0.5057,0.5056
34,val,0.7610,0.9572,0.9616,0.9572,0.9571
35,train,1.2454,0.7193,0.5357,0.5353,0.5351
35,val,0.7824,0.9572,0.9580,0.9572,0.9560
36,train,1.2815,0.7197,0.4694,0.4695,0.4692
36,val,0.7636,0.9586,0.9587,0.9586,0.9584
37,train,1.2220,0.7240,0.5419,0.5416,0.5414
37,val,0.7726,0.9586,0.9586,0.9586,0.9577
38,train,1.2806,0.6848,0.4745,0.4743,0.4742
38,val,0.7651,0.9601,0.9647,0.9601,0.9600
39,train,1.2838,0.7076,0.5613,0.5615,0.5610
39,val,0.7734,0.9586,0.9584,0.9586,0.9581
40,train,1.1863,0.7500,0.5806,0.5803,0.5802
40,val,0.7590,0.9586,0.9591,0.9586,0.9582
41,train,1.2779,0.7008,0.4968,0.4976,0.4968
41,val,0.7857,0.9527,0.9540,0.9527,0.9528
42,train,1.2400,0.7259,0.4685,0.4680,0.4681
42,val,0.8101,0.9439,0.9480,0.9439,0.9439
Evaluation Metrics:
Accuracy: 0.9586, Precision: 0.9600, Recall: 0.9586, F1 Score: 0.9587

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8500, Precision: 0.8843, Recall: 0.8500, F1 Score: 0.8402
Model Summary:
Total params: 67714696
Trainable params: 67714696
