Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.5967,0.3025,0.3346,0.3025,0.2726
1,val,2.3997,0.5140,0.5510,0.5140,0.4742
2,train,1.7155,0.6786,0.7108,0.6786,0.6618
2,val,1.5247,0.7696,0.7783,0.7696,0.7518
3,train,1.1795,0.8389,0.8414,0.8389,0.8371
3,val,0.9959,0.8922,0.9027,0.8922,0.8839
4,train,0.9243,0.8988,0.8984,0.8988,0.8983
4,val,0.8174,0.9394,0.9412,0.9394,0.9387
5,train,0.8227,0.9350,0.9351,0.9350,0.9349
5,val,0.7568,0.9365,0.9385,0.9365,0.9361
6,train,0.7548,0.9586,0.9588,0.9586,0.9586
6,val,0.7410,0.9424,0.9458,0.9424,0.9402
7,train,0.7287,0.9682,0.9685,0.9682,0.9683
7,val,0.7439,0.9409,0.9482,0.9409,0.9385
8,train,0.6984,0.9764,0.9764,0.9764,0.9763
8,val,0.7547,0.9424,0.9451,0.9424,0.9418
9,train,0.6706,0.9856,0.9856,0.9856,0.9856
9,val,0.7564,0.9453,0.9471,0.9453,0.9450
10,train,0.6630,0.9897,0.9897,0.9897,0.9896
10,val,0.7605,0.9483,0.9489,0.9483,0.9482
11,train,0.6551,0.9922,0.9923,0.9922,0.9923
11,val,0.7789,0.9453,0.9456,0.9453,0.9432
12,train,0.6512,0.9926,0.9926,0.9926,0.9926
12,val,0.7587,0.9513,0.9577,0.9513,0.9497
13,train,0.6447,0.9959,0.9960,0.9959,0.9959
13,val,0.7655,0.9513,0.9534,0.9513,0.9496
14,train,0.6402,0.9948,0.9948,0.9948,0.9948
14,val,0.7621,0.9483,0.9502,0.9483,0.9479
15,train,0.6320,0.9959,0.9960,0.9959,0.9959
15,val,0.7497,0.9498,0.9501,0.9498,0.9494
16,train,0.6359,0.9945,0.9945,0.9945,0.9945
16,val,0.7640,0.9468,0.9487,0.9468,0.9466
17,train,0.6304,0.9952,0.9952,0.9952,0.9952
17,val,0.7846,0.9439,0.9509,0.9439,0.9418
18,train,0.6376,0.9941,0.9941,0.9941,0.9941
18,val,0.7515,0.9513,0.9524,0.9513,0.9511
19,train,0.6285,0.9963,0.9963,0.9963,0.9963
19,val,0.7596,0.9453,0.9465,0.9453,0.9449
20,train,0.6242,0.9970,0.9971,0.9970,0.9970
20,val,0.7402,0.9542,0.9549,0.9542,0.9542
21,train,0.6273,0.9967,0.9967,0.9967,0.9967
21,val,0.7942,0.9513,0.9587,0.9513,0.9485
22,train,0.6237,0.9970,0.9971,0.9970,0.9970
22,val,0.7513,0.9542,0.9583,0.9542,0.9533
23,train,0.6283,0.9937,0.9937,0.9937,0.9937
23,val,0.7551,0.9498,0.9524,0.9498,0.9492
24,train,0.6236,0.9978,0.9978,0.9978,0.9978
24,val,0.7692,0.9439,0.9462,0.9439,0.9429
25,train,0.6228,0.9963,0.9963,0.9963,0.9963
25,val,0.7823,0.9439,0.9488,0.9439,0.9416
26,train,0.6254,0.9941,0.9941,0.9941,0.9941
26,val,0.7534,0.9468,0.9474,0.9468,0.9468
27,train,0.6195,0.9978,0.9978,0.9978,0.9978
27,val,0.7721,0.9513,0.9630,0.9513,0.9481
28,train,0.6231,0.9967,0.9967,0.9967,0.9967
28,val,0.7909,0.9424,0.9474,0.9424,0.9397
29,train,0.6215,0.9970,0.9971,0.9970,0.9970
29,val,0.7598,0.9483,0.9542,0.9483,0.9470
30,train,0.6252,0.9956,0.9956,0.9956,0.9956
30,val,0.7540,0.9483,0.9498,0.9483,0.9480
31,train,0.6180,0.9993,0.9993,0.9993,0.9993
31,val,0.7650,0.9468,0.9511,0.9468,0.9456
32,train,0.6133,1.0000,1.0000,1.0000,1.0000
32,val,0.7663,0.9483,0.9496,0.9483,0.9482
33,train,0.6161,0.9985,0.9985,0.9985,0.9985
33,val,0.7623,0.9527,0.9551,0.9527,0.9523
34,train,0.6150,0.9989,0.9989,0.9989,0.9989
34,val,0.7457,0.9513,0.9521,0.9513,0.9505
35,train,0.6214,0.9963,0.9963,0.9963,0.9963
35,val,0.7724,0.9409,0.9446,0.9409,0.9395
36,train,0.6152,0.9989,0.9989,0.9989,0.9989
36,val,0.8266,0.9409,0.9549,0.9409,0.9324
37,train,0.6178,0.9982,0.9982,0.9982,0.9982
37,val,0.7770,0.9468,0.9482,0.9468,0.9466
38,train,0.6171,0.9967,0.9967,0.9967,0.9967
38,val,0.7763,0.9483,0.9493,0.9483,0.9482
39,train,0.6145,0.9996,0.9996,0.9996,0.9996
39,val,0.7924,0.9439,0.9457,0.9439,0.9434
40,train,0.6149,0.9982,0.9982,0.9982,0.9982
40,val,0.7833,0.9439,0.9454,0.9439,0.9436
41,train,0.6128,0.9989,0.9989,0.9989,0.9989
41,val,0.7834,0.9409,0.9456,0.9409,0.9382
42,train,0.6186,0.9970,0.9971,0.9970,0.9970
42,val,0.8054,0.9453,0.9637,0.9453,0.9391
43,train,0.6158,0.9978,0.9978,0.9978,0.9978
43,val,0.7515,0.9601,0.9644,0.9601,0.9586
44,train,0.6156,0.9982,0.9982,0.9982,0.9982
44,val,0.7457,0.9527,0.9547,0.9527,0.9516
45,train,0.6186,0.9982,0.9982,0.9982,0.9982
45,val,0.7522,0.9513,0.9524,0.9513,0.9511
Evaluation Metrics:
Accuracy: 0.9542, Precision: 0.9549, Recall: 0.9542, F1 Score: 0.9542

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8750, Precision: 0.8842, Recall: 0.8750, F1 Score: 0.8636
Model Summary:
Total params: 42198200
Trainable params: 42198200
