Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.3327,0.4466,0.4892,0.4466,0.4414
1,val,1.9081,0.7282,0.7403,0.7282,0.7023
2,train,1.3498,0.8194,0.8236,0.8194,0.8152
2,val,1.1577,0.8936,0.9142,0.8936,0.8848
3,train,0.9765,0.9040,0.9054,0.9040,0.9030
3,val,0.8853,0.9217,0.9294,0.9217,0.9178
4,train,0.8401,0.9287,0.9287,0.9287,0.9283
4,val,0.7926,0.9394,0.9415,0.9394,0.9386
5,train,0.7629,0.9501,0.9501,0.9501,0.9500
5,val,0.7511,0.9380,0.9405,0.9380,0.9340
6,train,0.7244,0.9668,0.9668,0.9668,0.9667
6,val,0.7435,0.9439,0.9494,0.9439,0.9399
7,train,0.7051,0.9741,0.9744,0.9741,0.9741
7,val,0.7352,0.9468,0.9478,0.9468,0.9464
8,train,0.6862,0.9826,0.9827,0.9826,0.9826
8,val,0.7304,0.9586,0.9619,0.9586,0.9578
9,train,0.6640,0.9889,0.9889,0.9889,0.9889
9,val,0.7224,0.9527,0.9556,0.9527,0.9517
10,train,0.6555,0.9908,0.9909,0.9908,0.9908
10,val,0.7248,0.9527,0.9529,0.9527,0.9526
11,train,0.6483,0.9941,0.9941,0.9941,0.9941
11,val,0.7338,0.9601,0.9613,0.9601,0.9601
12,train,0.6370,0.9978,0.9978,0.9978,0.9978
12,val,0.7290,0.9513,0.9560,0.9513,0.9504
13,train,0.6349,0.9970,0.9971,0.9970,0.9970
13,val,0.7307,0.9557,0.9585,0.9557,0.9553
14,train,0.6321,0.9978,0.9978,0.9978,0.9978
14,val,0.7241,0.9631,0.9644,0.9631,0.9629
15,train,0.6317,0.9974,0.9974,0.9974,0.9974
15,val,0.7356,0.9542,0.9555,0.9542,0.9543
16,train,0.6280,0.9985,0.9985,0.9985,0.9985
16,val,0.7355,0.9572,0.9577,0.9572,0.9572
17,train,0.6265,0.9985,0.9985,0.9985,0.9985
17,val,0.7411,0.9542,0.9543,0.9542,0.9541
18,train,0.6247,0.9982,0.9982,0.9982,0.9982
18,val,0.7307,0.9557,0.9597,0.9557,0.9552
19,train,0.6267,0.9970,0.9971,0.9970,0.9970
19,val,0.7282,0.9572,0.9575,0.9572,0.9571
20,train,0.6214,0.9978,0.9978,0.9978,0.9978
20,val,0.7245,0.9601,0.9608,0.9601,0.9602
21,train,0.6280,0.9959,0.9960,0.9959,0.9959
21,val,0.7328,0.9616,0.9623,0.9616,0.9616
22,train,0.6229,0.9967,0.9967,0.9967,0.9967
22,val,0.7474,0.9513,0.9519,0.9513,0.9513
23,train,0.6231,0.9970,0.9970,0.9970,0.9970
23,val,0.7704,0.9527,0.9532,0.9527,0.9527
24,train,0.6181,0.9982,0.9982,0.9982,0.9982
24,val,0.7450,0.9527,0.9537,0.9527,0.9528
25,train,0.6176,0.9982,0.9982,0.9982,0.9982
25,val,0.7453,0.9586,0.9602,0.9586,0.9586
26,train,0.6175,0.9985,0.9985,0.9985,0.9985
26,val,0.7574,0.9468,0.9524,0.9468,0.9469
27,train,0.6174,0.9985,0.9985,0.9985,0.9985
27,val,0.7634,0.9483,0.9500,0.9483,0.9487
28,train,0.6208,0.9963,0.9963,0.9963,0.9963
28,val,0.7604,0.9513,0.9534,0.9513,0.9514
29,train,0.6166,0.9985,0.9985,0.9985,0.9985
29,val,0.7675,0.9453,0.9470,0.9453,0.9456
30,train,0.6183,0.9974,0.9974,0.9974,0.9974
30,val,0.7418,0.9527,0.9533,0.9527,0.9528
31,train,0.6217,0.9967,0.9967,0.9967,0.9967
31,val,0.7516,0.9572,0.9586,0.9572,0.9571
32,train,0.6191,0.9970,0.9971,0.9970,0.9970
32,val,0.7556,0.9483,0.9495,0.9483,0.9486
33,train,0.6194,0.9978,0.9978,0.9978,0.9978
33,val,0.7607,0.9439,0.9456,0.9439,0.9442
34,train,0.6149,0.9982,0.9982,0.9982,0.9981
34,val,0.7473,0.9513,0.9533,0.9513,0.9514
Evaluation Metrics:
Accuracy: 0.9557, Precision: 0.9586, Recall: 0.9557, F1 Score: 0.9546

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8175, Precision: 0.8709, Recall: 0.8175, F1 Score: 0.8032
Model Summary:
Total params: 14456456
Trainable params: 14456456
