Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.1562,0.5331,0.5805,0.5331,0.5254
1,val,1.1884,0.8730,0.8935,0.8730,0.8666
2,train,1.1709,0.8666,0.8682,0.8666,0.8663
2,val,0.8215,0.9055,0.8992,0.9055,0.8987
3,train,0.8983,0.9173,0.9176,0.9173,0.9172
3,val,0.7763,0.9202,0.9224,0.9202,0.9201
4,train,0.7993,0.9450,0.9454,0.9450,0.9447
4,val,0.7540,0.9247,0.9216,0.9247,0.9187
5,train,0.7537,0.9601,0.9599,0.9601,0.9600
5,val,0.7416,0.9321,0.9313,0.9321,0.9300
6,train,0.7236,0.9701,0.9702,0.9701,0.9701
6,val,0.7548,0.9335,0.9382,0.9335,0.9320
7,train,0.6970,0.9778,0.9779,0.9778,0.9779
7,val,0.7740,0.9291,0.9339,0.9291,0.9271
8,train,0.6796,0.9837,0.9838,0.9837,0.9838
8,val,0.7786,0.9291,0.9346,0.9291,0.9282
9,train,0.6724,0.9834,0.9835,0.9834,0.9833
9,val,0.7846,0.9276,0.9299,0.9276,0.9274
10,train,0.6539,0.9900,0.9901,0.9900,0.9900
10,val,0.7968,0.9261,0.9277,0.9261,0.9262
11,train,0.6416,0.9952,0.9952,0.9952,0.9952
11,val,0.7831,0.9409,0.9414,0.9409,0.9409
12,train,0.6388,0.9959,0.9960,0.9959,0.9959
12,val,0.8167,0.9321,0.9333,0.9321,0.9321
13,train,0.6363,0.9948,0.9949,0.9948,0.9948
13,val,0.7966,0.9365,0.9422,0.9365,0.9333
14,train,0.6352,0.9937,0.9937,0.9937,0.9937
14,val,0.7806,0.9350,0.9367,0.9350,0.9354
15,train,0.6288,0.9956,0.9956,0.9956,0.9956
15,val,0.8475,0.9188,0.9215,0.9188,0.9188
16,train,0.6298,0.9963,0.9963,0.9963,0.9963
16,val,0.7999,0.9365,0.9366,0.9365,0.9351
17,train,0.6306,0.9937,0.9938,0.9937,0.9937
17,val,0.8020,0.9350,0.9349,0.9350,0.9326
18,train,0.6319,0.9934,0.9934,0.9934,0.9933
18,val,0.8176,0.9335,0.9343,0.9335,0.9335
19,train,0.6271,0.9970,0.9971,0.9970,0.9970
19,val,0.8194,0.9350,0.9365,0.9350,0.9351
20,train,0.6173,0.9989,0.9989,0.9989,0.9989
20,val,0.8375,0.9321,0.9369,0.9321,0.9306
21,train,0.6227,0.9974,0.9974,0.9974,0.9974
21,val,0.8104,0.9306,0.9312,0.9306,0.9306
22,train,0.6238,0.9974,0.9974,0.9974,0.9974
22,val,0.8089,0.9409,0.9433,0.9409,0.9406
23,train,0.6241,0.9970,0.9971,0.9970,0.9970
23,val,0.8039,0.9409,0.9418,0.9409,0.9395
24,train,0.6230,0.9963,0.9963,0.9963,0.9963
24,val,0.8219,0.9335,0.9339,0.9335,0.9318
25,train,0.6180,0.9982,0.9982,0.9982,0.9982
25,val,0.8025,0.9350,0.9352,0.9350,0.9345
26,train,0.6184,0.9978,0.9978,0.9978,0.9978
26,val,0.8153,0.9261,0.9263,0.9261,0.9257
27,train,0.6198,0.9974,0.9974,0.9974,0.9974
27,val,0.8545,0.9306,0.9314,0.9306,0.9307
28,train,0.6135,0.9985,0.9985,0.9985,0.9985
28,val,0.8299,0.9276,0.9289,0.9276,0.9275
29,train,0.6147,0.9989,0.9989,0.9989,0.9989
29,val,0.8117,0.9409,0.9435,0.9409,0.9407
30,train,0.6160,0.9985,0.9985,0.9985,0.9985
30,val,0.8604,0.9247,0.9308,0.9247,0.9205
Evaluation Metrics:
Accuracy: 0.9321, Precision: 0.9313, Recall: 0.9321, F1 Score: 0.9300

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8450, Precision: 0.8695, Recall: 0.8450, F1 Score: 0.8427
Model Summary:
Total params: 10500136
Trainable params: 10500136
