Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.8297,0.6509,0.6851,0.6509,0.6482
1,val,1.0266,0.8907,0.8657,0.8907,0.8722
2,train,0.9968,0.8888,0.8876,0.8888,0.8875
2,val,0.8393,0.9099,0.9275,0.9099,0.9030
3,train,0.8243,0.9420,0.9426,0.9420,0.9420
3,val,0.7550,0.9350,0.9378,0.9350,0.9349
4,train,0.7496,0.9568,0.9568,0.9568,0.9568
4,val,0.8186,0.9010,0.9373,0.9010,0.8840
5,train,0.7400,0.9586,0.9586,0.9586,0.9586
5,val,0.7959,0.9143,0.9219,0.9143,0.9144
6,train,0.6918,0.9756,0.9756,0.9756,0.9756
6,val,0.7622,0.9365,0.9377,0.9365,0.9366
7,train,0.6792,0.9808,0.9808,0.9808,0.9808
7,val,0.9107,0.8907,0.9171,0.8907,0.8788
8,train,0.6827,0.9782,0.9782,0.9782,0.9782
8,val,0.7903,0.9321,0.9320,0.9321,0.9307
9,train,0.6571,0.9871,0.9871,0.9871,0.9870
9,val,0.7860,0.9321,0.9341,0.9321,0.9271
10,train,0.6619,0.9860,0.9860,0.9860,0.9860
10,val,0.7900,0.9365,0.9418,0.9365,0.9368
11,train,0.6560,0.9893,0.9894,0.9893,0.9893
11,val,0.8049,0.9291,0.9321,0.9291,0.9293
12,train,0.6511,0.9885,0.9886,0.9885,0.9886
12,val,0.8262,0.9350,0.9349,0.9350,0.9276
13,train,0.6447,0.9904,0.9905,0.9904,0.9904
13,val,0.8583,0.9202,0.9217,0.9202,0.9131
14,train,0.6533,0.9867,0.9870,0.9867,0.9867
14,val,0.8233,0.9306,0.9312,0.9306,0.9302
15,train,0.6395,0.9930,0.9930,0.9930,0.9930
15,val,0.8328,0.9350,0.9431,0.9350,0.9342
16,train,0.6483,0.9882,0.9882,0.9882,0.9882
16,val,0.9129,0.9099,0.9113,0.9099,0.9055
17,train,0.6431,0.9908,0.9908,0.9908,0.9908
17,val,0.8304,0.9306,0.9291,0.9306,0.9278
18,train,0.6264,0.9959,0.9960,0.9959,0.9959
18,val,0.8300,0.9276,0.9308,0.9276,0.9278
19,train,0.6380,0.9915,0.9916,0.9915,0.9915
19,val,0.8306,0.9261,0.9276,0.9261,0.9243
20,train,0.6297,0.9941,0.9941,0.9941,0.9941
20,val,0.8034,0.9365,0.9380,0.9365,0.9364
21,train,0.6400,0.9915,0.9915,0.9915,0.9915
21,val,0.8525,0.9217,0.9245,0.9217,0.9219
22,train,0.6366,0.9919,0.9919,0.9919,0.9919
22,val,0.8337,0.9321,0.9322,0.9321,0.9317
23,train,0.6192,0.9970,0.9971,0.9970,0.9970
23,val,0.8505,0.9321,0.9363,0.9321,0.9318
24,train,0.6264,0.9941,0.9941,0.9941,0.9941
24,val,0.8348,0.9291,0.9287,0.9291,0.9278
25,train,0.6219,0.9959,0.9960,0.9959,0.9959
25,val,0.8216,0.9365,0.9382,0.9365,0.9366
26,train,0.6284,0.9948,0.9949,0.9948,0.9948
26,val,0.8629,0.9188,0.9220,0.9188,0.9186
27,train,0.6257,0.9937,0.9938,0.9937,0.9937
27,val,0.8374,0.9291,0.9374,0.9291,0.9277
28,train,0.6282,0.9930,0.9930,0.9930,0.9930
28,val,0.8339,0.9306,0.9339,0.9306,0.9291
Evaluation Metrics:
Accuracy: 0.9350, Precision: 0.9378, Recall: 0.9350, F1 Score: 0.9349

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7700, Precision: 0.8335, Recall: 0.7700, F1 Score: 0.7484
Model Summary:
Total params: 54641320
Trainable params: 54641320
