Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.3871,0.6561,0.6847,0.6561,0.65
1,val,0.3498,0.8863,0.8891,0.8863,0.8832
2,train,0.3257,0.9025,0.9031,0.9025,0.9022
2,val,0.2164,0.9099,0.8841,0.9099,0.8917
3,train,0.1985,0.9291,0.9292,0.9291,0.9289
3,val,0.1711,0.9306,0.9441,0.9306,0.9228
4,train,0.1366,0.9487,0.9488,0.9487,0.9486
4,val,0.1514,0.9306,0.9434,0.9306,0.9207
5,train,0.1062,0.9571,0.9572,0.9571,0.9572
5,val,0.164,0.9232,0.9238,0.9232,0.9205
6,train,0.0753,0.973,0.9731,0.973,0.973
6,val,0.1808,0.9291,0.9315,0.9291,0.926
7,train,0.0664,0.9738,0.9738,0.9738,0.9737
7,val,0.1496,0.9365,0.939,0.9365,0.9361
8,train,0.052,0.9845,0.9845,0.9845,0.9845
8,val,0.1978,0.9276,0.9283,0.9276,0.9242
9,train,0.038,0.9919,0.992,0.9919,0.9919
9,val,0.2083,0.9335,0.9347,0.9335,0.9319
10,train,0.0224,0.9952,0.9952,0.9952,0.9952
10,val,0.2338,0.9394,0.9429,0.9394,0.9385
11,train,0.0242,0.9937,0.9938,0.9937,0.9937
11,val,0.2472,0.9306,0.9321,0.9306,0.9303
12,train,0.0119,0.9982,0.9982,0.9982,0.9982
12,val,0.2521,0.9409,0.9468,0.9409,0.9396
13,train,0.0137,0.997,0.9971,0.997,0.997
13,val,0.2457,0.9453,0.9461,0.9453,0.9453
14,train,0.0104,0.9974,0.9975,0.9974,0.9974
14,val,0.2858,0.9394,0.9417,0.9394,0.9377
15,train,0.0066,0.9989,0.9989,0.9989,0.9989
15,val,0.2327,0.9453,0.9456,0.9453,0.9451
16,train,0.0096,0.9982,0.9982,0.9982,0.9982
16,val,0.2367,0.9424,0.9463,0.9424,0.9412
17,train,0.0063,0.9993,0.9993,0.9993,0.9993
17,val,0.232,0.9394,0.9401,0.9394,0.9393
Evaluation Metrics:,,,,,,
Accuracy: 0.9350, Precision: 0.9375, Recall: 0.9350, F1 Score: 0.9347,,,
,,,,,,
Evaluation on Test Set:,,,,,,
Evaluation Metrics:,,,,,,
Accuracy: 0.8450, Precision: 0.8898, Recall: 0.8450, F1 Score: 0.8416,,,
Model Summary:,,,,,,
Total params:4498984,,,,,,
Trainable params: 4498984,,,,,,
