Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.003,0.7285,0.7512,0.7285,0.7308
1,val,0.2761,0.8996,0.9139,0.8996,0.8901
2,train,0.2307,0.9217,0.9215,0.9217,0.9214
2,val,0.2179,0.9232,0.9273,0.9232,0.9224
3,train,0.1163,0.9594,0.9594,0.9594,0.9593
3,val,0.189,0.9217,0.9233,0.9217,0.9215
4,train,0.0758,0.9771,0.9772,0.9771,0.9771
4,val,0.2015,0.9321,0.9331,0.9321,0.932
5,train,0.0456,0.9889,0.989,0.9889,0.9889
5,val,0.227,0.9365,0.9383,0.9365,0.9363
6,train,0.0332,0.9922,0.9923,0.9922,0.9923
6,val,0.2133,0.9335,0.9357,0.9335,0.9337
7,train,0.0178,0.997,0.9971,0.997,0.997
7,val,0.2848,0.9335,0.9386,0.9335,0.9321
8,train,0.0156,0.9967,0.9967,0.9967,0.9967
8,val,0.2878,0.9321,0.934,0.9321,0.9324
9,train,0.0104,0.9982,0.9982,0.9982,0.9982
9,val,0.319,0.9276,0.9305,0.9276,0.9274
10,train,0.0138,0.9967,0.9967,0.9967,0.9967
10,val,0.3171,0.9188,0.9242,0.9188,0.9177
11,train,0.0114,0.9974,0.9974,0.9974,0.9974
11,val,0.2727,0.9321,0.9347,0.9321,0.9315
12,train,0.0149,0.9963,0.9963,0.9963,0.9963
12,val,0.2942,0.9335,0.9366,0.9335,0.9332
13,train,0.01,0.9978,0.9978,0.9978,0.9978
13,val,0.3553,0.9143,0.9187,0.9143,0.9137
Evaluation Metrics:,,,,,,
Accuracy: 0.9232, Precision: 0.9249, Recall: 0.9232, F1 Score: 0.9229,,,
,,,,,,
Evaluation on Test Set:,,,,,,
Evaluation Metrics:,,,,,,
Accuracy: 0.7275, Precision: 0.8193, Recall: 0.7275, F1 Score: 0.7165,,,
Model Summary:,,,,,,
Total params: 22373544,,,,,,
Trainable params: 22373544,,,,,,
