Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,0.9898,0.7477,0.7617,0.7477,0.7447
1,val,0.2040,0.9173,0.9281,0.9173,0.9104
2,train,0.2269,0.9161,0.9164,0.9161,0.9161
2,val,0.2150,0.9335,0.9356,0.9335,0.9335
3,train,0.1387,0.9494,0.9493,0.9494,0.9493
3,val,0.1809,0.9409,0.9433,0.9409,0.9403
4,train,0.0980,0.9668,0.9669,0.9668,0.9667
4,val,0.2176,0.9365,0.9534,0.9365,0.9304
5,train,0.0703,0.9804,0.9809,0.9804,0.9804
5,val,0.2413,0.9335,0.9386,0.9335,0.9329
6,train,0.0517,0.9841,0.9842,0.9841,0.9841
6,val,0.1858,0.9424,0.9433,0.9424,0.9425
7,train,0.0498,0.9845,0.9845,0.9845,0.9845
7,val,0.2586,0.9498,0.9583,0.9498,0.9479
8,train,0.0446,0.9845,0.9845,0.9845,0.9845
8,val,0.2061,0.9498,0.9522,0.9498,0.9501
9,train,0.0270,0.9911,0.9912,0.9911,0.9911
9,val,0.3389,0.9321,0.9426,0.9321,0.9284
10,train,0.0322,0.9908,0.9908,0.9908,0.9908
10,val,0.2434,0.9424,0.9499,0.9424,0.9404
11,train,0.0244,0.9930,0.9930,0.9930,0.9930
11,val,0.2391,0.9513,0.9562,0.9513,0.9510
12,train,0.0259,0.9922,0.9923,0.9922,0.9922
12,val,0.2287,0.9468,0.9489,0.9468,0.9467
13,train,0.0129,0.9974,0.9974,0.9974,0.9974
13,val,0.2987,0.9453,0.9488,0.9453,0.9448
Evaluation Metrics:
Accuracy: 0.9409, Precision: 0.9433, Recall: 0.9409, F1 Score: 0.9403

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7750, Precision: 0.8572, Recall: 0.7750, F1 Score: 0.7480
Model Summary:
Total params: 47098024
Trainable params: 47098024
