Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.4787,0.4433,0.4342,0.4433,0.4299
1,val,2.1516,0.5761,0.6811,0.5761,0.5689
2,train,1.1369,0.7721,0.7863,0.7721,0.7618
2,val,0.8501,0.8080,0.8276,0.8080,0.7937
3,train,0.4699,0.8744,0.8771,0.8744,0.8736
3,val,0.3646,0.8951,0.9272,0.8951,0.8811
4,train,0.2437,0.9283,0.9285,0.9283,0.9283
4,val,0.2452,0.9247,0.9345,0.9247,0.9232
5,train,0.1440,0.9564,0.9565,0.9564,0.9563
5,val,0.1863,0.9306,0.9328,0.9306,0.9307
6,train,0.1123,0.9690,0.9692,0.9690,0.9690
6,val,0.1556,0.9483,0.9520,0.9483,0.9482
7,train,0.0781,0.9789,0.9791,0.9789,0.9789
7,val,0.1866,0.9498,0.9507,0.9498,0.9481
8,train,0.0596,0.9856,0.9856,0.9856,0.9856
8,val,0.1934,0.9424,0.9488,0.9424,0.9417
9,train,0.0488,0.9856,0.9856,0.9856,0.9856
9,val,0.1686,0.9498,0.9505,0.9498,0.9492
10,train,0.0363,0.9908,0.9908,0.9908,0.9908
10,val,0.2077,0.9483,0.9535,0.9483,0.9479
11,train,0.0301,0.9937,0.9938,0.9937,0.9937
11,val,0.2143,0.9542,0.9595,0.9542,0.9538
12,train,0.0237,0.9941,0.9941,0.9941,0.9941
12,val,0.2033,0.9557,0.9603,0.9557,0.9554
13,train,0.0339,0.9919,0.9919,0.9919,0.9919
13,val,0.2127,0.9498,0.9554,0.9498,0.9493
14,train,0.0243,0.9937,0.9938,0.9937,0.9937
14,val,0.1721,0.9483,0.9498,0.9483,0.9486
15,train,0.0243,0.9930,0.9930,0.9930,0.9930
15,val,0.2293,0.9498,0.9571,0.9498,0.9489
16,train,0.0132,0.9963,0.9963,0.9963,0.9963
16,val,0.1962,0.9468,0.9479,0.9468,0.9469
Evaluation Metrics:
Accuracy: 0.9483, Precision: 0.9520, Recall: 0.9483, F1 Score: 0.9482

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7775, Precision: 0.8368, Recall: 0.7775, F1 Score: 0.7654
Model Summary:
Total params: 56763528
Trainable params: 56763528
