Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.47,0.4547,0.4485,0.4547,0.4415
1,val,2.1679,0.6041,0.6663,0.6041,0.5426
2,train,1.1204,0.7761,0.7921,0.7761,0.7667
2,val,0.8972,0.7637,0.8281,0.7637,0.7361
3,train,0.4703,0.8762,0.8783,0.8762,0.8748
3,val,0.3698,0.8863,0.9031,0.8863,0.8807
4,train,0.2653,0.9202,0.9204,0.9202,0.92
4,val,0.215,0.9247,0.9266,0.9247,0.9241
5,train,0.1808,0.9435,0.9436,0.9435,0.9435
5,val,0.166,0.9409,0.9412,0.9409,0.9403
6,train,0.1172,0.9675,0.9676,0.9675,0.9674
6,val,0.1856,0.9321,0.9327,0.9321,0.9316
7,train,0.0848,0.9786,0.9787,0.9786,0.9786
7,val,0.1631,0.9483,0.9484,0.9483,0.9481
8,train,0.0605,0.9849,0.9849,0.9849,0.9848
8,val,0.2045,0.9424,0.945,0.9424,0.9408
9,train,0.0463,0.9885,0.9887,0.9885,0.9885
9,val,0.2282,0.9468,0.9484,0.9468,0.9461
10,train,0.0622,0.9837,0.9839,0.9837,0.9837
10,val,0.1862,0.9424,0.9458,0.9424,0.94
11,train,0.0276,0.9941,0.9942,0.9941,0.9941
11,val,0.2425,0.9483,0.9492,0.9483,0.9473
12,train,0.0304,0.9919,0.9919,0.9919,0.9919
12,val,0.2393,0.9483,0.9543,0.9483,0.9447
13,train,0.0275,0.9945,0.9945,0.9945,0.9945
13,val,0.2206,0.9439,0.9445,0.9439,0.9434
14,train,0.0355,0.99,0.9901,0.99,0.99
14,val,0.2559,0.9453,0.9466,0.9453,0.9443
15,train,0.0208,0.9956,0.9956,0.9956,0.9956
15,val,0.2183,0.9468,0.9471,0.9468,0.9463
16,train,0.0188,0.9948,0.9949,0.9948,0.9948
16,val,0.2376,0.9394,0.9435,0.9394,0.937
17,train,0.0139,0.997,0.9971,0.997,0.997
17,val,0.2494,0.9483,0.9484,0.9483,0.9479
Evaluation Metrics:,,,,,,
Accuracy: 0.9483, Precision: 0.9484, Recall: 0.9483, F1 Score: 0.9481,,,
,,,,,,
Evaluation on Test Set:,,,,,,
Evaluation Metrics:,,,,,,
Accuracy: 0.8300, Precision: 0.8712, Recall: 0.8300, F1 Score: 0.8233,,,
,,,,,,
Model Summary: ,,,,,,
"Total params: 35,168,952",,,,,,
"Trainable params: 35,168,952",,,,,,
