Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.7844,0.5552,0.5516,0.5552,0.5469
1,val,1.2373,0.7105,0.7782,0.7105,0.6987
2,train,0.4300,0.8836,0.8847,0.8836,0.8829
2,val,0.4545,0.8671,0.8753,0.8671,0.8530
3,train,0.2158,0.9302,0.9304,0.9302,0.9301
3,val,0.2547,0.9084,0.9098,0.9084,0.8983
4,train,0.1441,0.9501,0.9502,0.9501,0.9500
4,val,0.2003,0.9291,0.9322,0.9291,0.9259
5,train,0.0999,0.9675,0.9677,0.9675,0.9675
5,val,0.2345,0.9291,0.9516,0.9291,0.9158
6,train,0.0728,0.9760,0.9761,0.9760,0.9760
6,val,0.2136,0.9306,0.9345,0.9306,0.9275
7,train,0.0502,0.9849,0.9850,0.9849,0.9848
7,val,0.2233,0.9291,0.9332,0.9291,0.9278
8,train,0.0444,0.9860,0.9860,0.9860,0.9860
8,val,0.2198,0.9409,0.9422,0.9409,0.9409
9,train,0.0262,0.9919,0.9919,0.9919,0.9919
9,val,0.2525,0.9409,0.9457,0.9409,0.9382
10,train,0.0269,0.9919,0.9919,0.9919,0.9919
10,val,0.2567,0.9424,0.9453,0.9424,0.9409
11,train,0.0167,0.9948,0.9950,0.9948,0.9948
11,val,0.2328,0.9409,0.9423,0.9409,0.9409
12,train,0.0081,0.9982,0.9982,0.9982,0.9982
12,val,0.2911,0.9350,0.9366,0.9350,0.9349
13,train,0.0098,0.9982,0.9982,0.9982,0.9982
13,val,0.2805,0.9380,0.9387,0.9380,0.9380
14,train,0.0081,0.9974,0.9974,0.9974,0.9974
14,val,0.2764,0.9335,0.9354,0.9335,0.9332
Evaluation Metrics:
Accuracy: 0.9291, Precision: 0.9322, Recall: 0.9291, F1 Score: 0.9259

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7800, Precision: 0.7839, Recall: 0.7800, F1 Score: 0.7642
Model Summary:
Total params: 8455304
Trainable params: 8455304
