Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.4131,0.6402,0.6731,0.6402,0.6377
1,val,0.4088,0.8951,0.8954,0.8951,0.8894
2,train,0.3450,0.8958,0.8957,0.8958,0.8954
2,val,0.2168,0.9129,0.9079,0.9129,0.9011
3,train,0.1884,0.9368,0.9371,0.9368,0.9368
3,val,0.1754,0.9247,0.9235,0.9247,0.9108
4,train,0.1327,0.9512,0.9510,0.9512,0.9510
4,val,0.1760,0.9394,0.9412,0.9394,0.9379
5,train,0.1023,0.9656,0.9656,0.9656,0.9656
5,val,0.1624,0.9424,0.9466,0.9424,0.9417
6,train,0.0817,0.9697,0.9696,0.9697,0.9696
6,val,0.1688,0.9453,0.9532,0.9453,0.9413
7,train,0.0608,0.9804,0.9805,0.9804,0.9804
7,val,0.1592,0.9468,0.9494,0.9468,0.9457
8,train,0.0623,0.9819,0.9820,0.9819,0.9819
8,val,0.1846,0.9380,0.9420,0.9380,0.9332
9,train,0.0358,0.9893,0.9895,0.9893,0.9893
9,val,0.1999,0.9350,0.9434,0.9350,0.9330
10,train,0.0204,0.9952,0.9952,0.9952,0.9952
10,val,0.1762,0.9527,0.9539,0.9527,0.9519
11,train,0.0240,0.9945,0.9946,0.9945,0.9945
11,val,0.2054,0.9453,0.9501,0.9453,0.9444
12,train,0.0121,0.9967,0.9967,0.9967,0.9967
12,val,0.1930,0.9483,0.9499,0.9483,0.9475
13,train,0.0136,0.9970,0.9971,0.9970,0.9970
13,val,0.1832,0.9498,0.9502,0.9498,0.9496
14,train,0.0144,0.9952,0.9952,0.9952,0.9952
14,val,0.1905,0.9424,0.9444,0.9424,0.9421
15,train,0.0074,0.9989,0.9989,0.9989,0.9989
15,val,0.1414,0.9542,0.9546,0.9542,0.9539
16,train,0.0082,0.9982,0.9982,0.9982,0.9982
16,val,0.2066,0.9439,0.9506,0.9439,0.9426
17,train,0.0087,0.9978,0.9978,0.9978,0.9978
17,val,0.2329,0.9498,0.9552,0.9498,0.9479
18,train,0.0070,0.9978,0.9978,0.9978,0.9978
18,val,0.1694,0.9527,0.9533,0.9527,0.9523
19,train,0.0054,0.9989,0.9989,0.9989,0.9989
19,val,0.1814,0.9483,0.9496,0.9483,0.9484
20,train,0.0024,1.0000,1.0000,1.0000,1.0000
20,val,0.2043,0.9498,0.9517,0.9498,0.9497
21,train,0.0044,0.9993,0.9993,0.9993,0.9993
21,val,0.2251,0.9527,0.9551,0.9527,0.9526
22,train,0.0044,0.9989,0.9989,0.9989,0.9989
22,val,0.2378,0.9439,0.9462,0.9439,0.9428
23,train,0.0033,0.9989,0.9989,0.9989,0.9989
23,val,0.2215,0.9439,0.9452,0.9439,0.9437
24,train,0.0025,1.0000,1.0000,1.0000,1.0000
24,val,0.2446,0.9498,0.9520,0.9498,0.9483
25,train,0.0028,0.9993,0.9993,0.9993,0.9993
25,val,0.2072,0.9527,0.9529,0.9527,0.9524
Evaluation Metrics:
Accuracy: 0.9527, Precision: 0.9531, Recall: 0.9527, F1 Score: 0.9525

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8350, Precision: 0.8448, Recall: 0.8350, F1 Score: 0.8191
Model Summary:
Total params: 4498984
Trainable params: 4498984
