Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,0.9963,0.7307,0.7465,0.7307,0.7266
1,val,0.2798,0.8951,0.9129,0.8951,0.8868
2,train,0.2184,0.9276,0.9275,0.9276,0.9275
2,val,0.2017,0.9291,0.9287,0.9291,0.9271
3,train,0.1210,0.9638,0.9639,0.9638,0.9638
3,val,0.2572,0.9040,0.9160,0.9040,0.9003
4,train,0.0767,0.9752,0.9753,0.9752,0.9752
4,val,0.2178,0.9291,0.9379,0.9291,0.9271
5,train,0.0483,0.9856,0.9858,0.9856,0.9856
5,val,0.2185,0.9247,0.9302,0.9247,0.9248
6,train,0.0338,0.9889,0.9890,0.9889,0.9889
6,val,0.2583,0.9173,0.9208,0.9173,0.9172
7,train,0.0205,0.9959,0.9959,0.9959,0.9959
7,val,0.2832,0.9217,0.9252,0.9217,0.9209
8,train,0.0103,0.9985,0.9985,0.9985,0.9985
8,val,0.2588,0.9321,0.9321,0.9321,0.9319
9,train,0.0078,0.9993,0.9993,0.9993,0.9993
9,val,0.2339,0.9276,0.9299,0.9276,0.9272
10,train,0.0066,0.9993,0.9993,0.9993,0.9993
10,val,0.2270,0.9350,0.9379,0.9350,0.9349
11,train,0.0099,0.9982,0.9982,0.9982,0.9982
11,val,0.2249,0.9468,0.9488,0.9468,0.9456
12,train,0.0102,0.9982,0.9982,0.9982,0.9982
12,val,0.2445,0.9350,0.9367,0.9350,0.9350
Evaluation Metrics:
Accuracy: 0.9291, Precision: 0.9287, Recall: 0.9291, F1 Score: 0.9271

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7775, Precision: 0.8016, Recall: 0.7775, F1 Score: 0.7557
Model Summary:
Total params: 22373544
Trainable params: 22373544
