Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,0.9847,0.7373,0.7612,0.7373,0.7359
1,val,0.1989,0.9217,0.9460,0.9217,0.9115
2,train,0.2403,0.9117,0.9118,0.9117,0.9116
2,val,0.2077,0.9291,0.9315,0.9291,0.9293
3,train,0.1590,0.9475,0.9475,0.9475,0.9475
3,val,0.1752,0.9394,0.9481,0.9394,0.9370
4,train,0.0963,0.9675,0.9676,0.9675,0.9675
4,val,0.1448,0.9394,0.9416,0.9394,0.9393
5,train,0.0742,0.9764,0.9764,0.9764,0.9763
5,val,0.2067,0.9394,0.9451,0.9394,0.9377
6,train,0.0573,0.9812,0.9812,0.9812,0.9812
6,val,0.1862,0.9468,0.9474,0.9468,0.9467
7,train,0.0540,0.9845,0.9847,0.9845,0.9845
7,val,0.2118,0.9380,0.9401,0.9380,0.9379
8,train,0.0329,0.9897,0.9897,0.9897,0.9897
8,val,0.2652,0.9394,0.9433,0.9394,0.9374
9,train,0.0320,0.9893,0.9893,0.9893,0.9893
9,val,0.2427,0.9498,0.9506,0.9498,0.9498
10,train,0.0231,0.9922,0.9923,0.9922,0.9922
10,val,0.1816,0.9527,0.9588,0.9527,0.9524
11,train,0.0196,0.9945,0.9945,0.9945,0.9945
11,val,0.2382,0.9335,0.9393,0.9335,0.9345
12,train,0.0220,0.9934,0.9934,0.9934,0.9934
12,val,0.1875,0.9498,0.9520,0.9498,0.9501
13,train,0.0260,0.9922,0.9923,0.9922,0.9922
13,val,0.3269,0.9424,0.9548,0.9424,0.9402
14,train,0.0235,0.9915,0.9915,0.9915,0.9915
14,val,0.3314,0.9335,0.9416,0.9335,0.9320
Evaluation Metrics:
Accuracy: 0.9394, Precision: 0.9416, Recall: 0.9394, F1 Score: 0.9393

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8025, Precision: 0.8587, Recall: 0.8025, F1 Score: 0.7810
Model Summary:
Total params: 47098024
Trainable params: 47098024
