Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.5254,0.4156,0.4091,0.4156,0.4061
1,val,2.2055,0.5894,0.6667,0.5894,0.5718
2,train,1.1473,0.7809,0.794,0.7809,0.7736
2,val,0.9724,0.8183,0.8525,0.8183,0.8156
3,train,0.4644,0.8873,0.8896,0.8873,0.8871
3,val,0.3915,0.8922,0.8984,0.8922,0.8927
4,train,0.2641,0.9261,0.9263,0.9261,0.926
4,val,0.2362,0.9232,0.9251,0.9232,0.9229
5,train,0.1541,0.9557,0.9557,0.9557,0.9556
5,val,0.2313,0.9306,0.9354,0.9306,0.9305
6,train,0.1187,0.9671,0.9673,0.9671,0.9671
6,val,0.1944,0.9424,0.9542,0.9424,0.9338
7,train,0.0664,0.9837,0.9838,0.9837,0.9837
7,val,0.1939,0.9394,0.9405,0.9394,0.9392
8,train,0.0467,0.99,0.9901,0.99,0.99
8,val,0.2128,0.9409,0.9406,0.9409,0.9379
9,train,0.0515,0.9871,0.9872,0.9871,0.9871
9,val,0.2277,0.9394,0.9447,0.9394,0.9396
10,train,0.0348,0.9922,0.9923,0.9922,0.9922
10,val,0.2932,0.9291,0.9407,0.9291,0.928
11,train,0.0322,0.993,0.993,0.993,0.993
11,val,0.2179,0.9468,0.955,0.9468,0.9465
12,train,0.0231,0.9956,0.9956,0.9956,0.9956
12,val,0.2126,0.9498,0.9507,0.9498,0.9491
13,train,0.025,0.9941,0.9941,0.9941,0.9941
13,val,0.1848,0.9468,0.9476,0.9468,0.9468
14,train,0.0179,0.9952,0.9952,0.9952,0.9952
14,val,0.1907,0.9453,0.9489,0.9453,0.9458
15,train,0.0149,0.9956,0.9956,0.9956,0.9956
15,val,0.2239,0.9439,0.9503,0.9439,0.9439
16,train,0.0197,0.9948,0.9949,0.9948,0.9948
16,val,0.2513,0.9498,0.9584,0.9498,0.9495
17,train,0.0173,0.9967,0.9967,0.9967,0.9967
17,val,0.2338,0.9439,0.952,0.9439,0.9436
18,train,0.0164,0.9952,0.9952,0.9952,0.9952
18,val,0.1881,0.9483,0.95,0.9483,0.9484
19,train,0.014,0.9974,0.9974,0.9974,0.9974
19,val,0.2129,0.9527,0.957,0.9527,0.953
20,train,0.0117,0.9974,0.9974,0.9974,0.9974
20,val,0.2362,0.9439,0.9442,0.9439,0.9434
21,train,0.0094,0.9978,0.9978,0.9978,0.9978
21,val,0.2462,0.9483,0.9513,0.9483,0.9485
22,train,0.0056,0.9993,0.9993,0.9993,0.9993
22,val,0.2471,0.9483,0.9516,0.9483,0.9486
23,train,0.0076,0.9978,0.9978,0.9978,0.9978
23,val,0.2884,0.9453,0.9535,0.9453,0.945
Evaluation Metrics:,,,,,,
Accuracy: 0.9468, Precision: 0.9476, Recall: 0.9468, F1 Score: 0.9468,,,
,,,,,,
Evaluation on Test Set:,,,,,,
Evaluation Metrics:,,,,,,
Accuracy: 0.8050, Precision: 0.8544, Recall: 0.8050, F1 Score: 0.7989,,,
Model Summary:,,,,,,
Total params: 56763528,,,,,,
Trainable params: 56763528,,,,,,
