Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.5097,0.4366,0.4372,0.4366,0.4323
1,val,2.1060,0.7001,0.7586,0.7001,0.6813
2,train,1.1364,0.7928,0.8097,0.7928,0.7838
2,val,0.8084,0.8183,0.8374,0.8183,0.8133
3,train,0.4356,0.8955,0.8961,0.8955,0.8951
3,val,0.3221,0.8966,0.8955,0.8966,0.8906
4,train,0.2463,0.9261,0.9265,0.9261,0.9260
4,val,0.2013,0.9306,0.9351,0.9306,0.9305
5,train,0.1656,0.9475,0.9477,0.9475,0.9475
5,val,0.1842,0.9350,0.9470,0.9350,0.9273
6,train,0.1311,0.9579,0.9582,0.9579,0.9575
6,val,0.1601,0.9424,0.9450,0.9424,0.9429
7,train,0.0949,0.9745,0.9745,0.9745,0.9745
7,val,0.1641,0.9439,0.9479,0.9439,0.9414
8,train,0.0700,0.9819,0.9820,0.9819,0.9819
8,val,0.1717,0.9453,0.9466,0.9453,0.9447
9,train,0.0522,0.9863,0.9865,0.9863,0.9863
9,val,0.1636,0.9483,0.9518,0.9483,0.9469
10,train,0.0367,0.9911,0.9912,0.9911,0.9911
10,val,0.1822,0.9483,0.9503,0.9483,0.9485
11,train,0.0329,0.9922,0.9923,0.9922,0.9922
11,val,0.2148,0.9468,0.9487,0.9468,0.9472
12,train,0.0380,0.9922,0.9923,0.9922,0.9922
12,val,0.1853,0.9439,0.9458,0.9439,0.9442
13,train,0.0245,0.9937,0.9937,0.9937,0.9937
13,val,0.1983,0.9483,0.9523,0.9483,0.9486
14,train,0.0287,0.9930,0.9930,0.9930,0.9930
14,val,0.2075,0.9439,0.9469,0.9439,0.9441
15,train,0.0223,0.9948,0.9949,0.9948,0.9948
15,val,0.1876,0.9542,0.9564,0.9542,0.9545
16,train,0.0247,0.9937,0.9938,0.9937,0.9937
16,val,0.1886,0.9513,0.9535,0.9513,0.9512
Evaluation Metrics:
Accuracy: 0.9424, Precision: 0.9450, Recall: 0.9424, F1 Score: 0.9429

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8325, Precision: 0.8647, Recall: 0.8325, F1 Score: 0.8287
Model Summary:
Total params: 35168952
Trainable params: 35168952
