Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.8175,0.5504,0.5531,0.5504,0.5389
1,val,1.0848,0.7090,0.7841,0.7090,0.6947
2,train,0.4521,0.8796,0.8804,0.8796,0.8777
2,val,0.4086,0.8774,0.8760,0.8774,0.8666
3,train,0.2210,0.9272,0.9273,0.9272,0.9271
3,val,0.2728,0.8907,0.9223,0.8907,0.8816
4,train,0.1382,0.9542,0.9542,0.9542,0.9540
4,val,0.2026,0.9291,0.9325,0.9291,0.9295
5,train,0.0980,0.9682,0.9683,0.9682,0.9682
5,val,0.2095,0.9173,0.9336,0.9173,0.9157
6,train,0.0808,0.9756,0.9756,0.9756,0.9756
6,val,0.2076,0.9217,0.9281,0.9217,0.9225
7,train,0.0503,0.9823,0.9824,0.9823,0.9822
7,val,0.1759,0.9365,0.9367,0.9365,0.9363
8,train,0.0394,0.9882,0.9882,0.9882,0.9881
8,val,0.1713,0.9439,0.9466,0.9439,0.9445
9,train,0.0219,0.9945,0.9945,0.9945,0.9945
9,val,0.3290,0.9261,0.9425,0.9261,0.9237
10,train,0.0178,0.9967,0.9967,0.9967,0.9967
10,val,0.3021,0.9335,0.9492,0.9335,0.9329
11,train,0.0168,0.9967,0.9967,0.9967,0.9967
11,val,0.4097,0.9158,0.9301,0.9158,0.9150
12,train,0.0178,0.9959,0.9960,0.9959,0.9959
12,val,0.2273,0.9394,0.9430,0.9394,0.9402
13,train,0.0109,0.9967,0.9967,0.9967,0.9967
13,val,0.2598,0.9409,0.9426,0.9409,0.9415
14,train,0.0083,0.9978,0.9978,0.9978,0.9978
14,val,0.2783,0.9380,0.9423,0.9380,0.9387
15,train,0.0094,0.9978,0.9978,0.9978,0.9978
15,val,0.2370,0.9498,0.9500,0.9498,0.9490
16,train,0.0084,0.9989,0.9989,0.9989,0.9989
16,val,0.3212,0.9350,0.9409,0.9350,0.9358
17,train,0.0060,0.9982,0.9982,0.9982,0.9982
17,val,0.2423,0.9498,0.9497,0.9498,0.9496
18,train,0.0099,0.9967,0.9967,0.9967,0.9967
18,val,0.4739,0.9291,0.9486,0.9291,0.9269
Evaluation Metrics:
Accuracy: 0.9439, Precision: 0.9466, Recall: 0.9439, F1 Score: 0.9445

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7500, Precision: 0.8091, Recall: 0.7500, F1 Score: 0.7404
Model Summary:
Total params: 8455304
Trainable params: 8455304
