Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.4140,0.7011,0.7387,0.7011,0.7016
1,val,0.5362,0.8922,0.8928,0.8922,0.8880
2,train,0.4539,0.9187,0.9190,0.9187,0.9185
2,val,0.3814,0.9069,0.9034,0.9069,0.8965
3,train,0.2606,0.9450,0.9451,0.9450,0.9449
3,val,0.2773,0.9261,0.9264,0.9261,0.9249
4,train,0.1820,0.9653,0.9654,0.9653,0.9653
4,val,0.2838,0.9188,0.9254,0.9188,0.9188
5,train,0.1239,0.9797,0.9799,0.9797,0.9797
5,val,0.3474,0.8981,0.9075,0.8981,0.8896
6,train,0.1010,0.9812,0.9812,0.9812,0.9811
6,val,0.2336,0.9335,0.9354,0.9335,0.9337
7,train,0.0876,0.9823,0.9824,0.9823,0.9823
7,val,0.2695,0.9232,0.9274,0.9232,0.9231
8,train,0.0609,0.9930,0.9930,0.9930,0.9930
8,val,0.2528,0.9232,0.9260,0.9232,0.9233
9,train,0.0482,0.9941,0.9941,0.9941,0.9941
9,val,0.3023,0.9291,0.9302,0.9291,0.9281
10,train,0.0478,0.9915,0.9916,0.9915,0.9915
10,val,0.3772,0.9099,0.9225,0.9099,0.9057
11,train,0.0300,0.9952,0.9952,0.9952,0.9952
11,val,0.2806,0.9291,0.9297,0.9291,0.9276
12,train,0.0344,0.9967,0.9967,0.9967,0.9967
12,val,0.2905,0.9261,0.9295,0.9261,0.9264
13,train,0.0341,0.9922,0.9923,0.9922,0.9922
13,val,0.3137,0.9188,0.9223,0.9188,0.9189
14,train,0.0407,0.9919,0.9919,0.9919,0.9919
14,val,0.3805,0.9114,0.9206,0.9114,0.9113
15,train,0.0362,0.9919,0.9919,0.9919,0.9919
15,val,0.3239,0.9232,0.9265,0.9232,0.9205
16,train,0.0294,0.9945,0.9945,0.9945,0.9945
16,val,0.3346,0.9217,0.9234,0.9217,0.9213
17,train,0.0326,0.9934,0.9934,0.9934,0.9933
17,val,0.3251,0.9232,0.9249,0.9232,0.9232
18,train,0.0267,0.9941,0.9941,0.9941,0.9941
18,val,0.4173,0.9055,0.9125,0.9055,0.9049
19,train,0.0201,0.9978,0.9978,0.9978,0.9978
19,val,0.4601,0.9114,0.9248,0.9114,0.9082
20,train,0.0420,0.9908,0.9908,0.9908,0.9908
20,val,0.2817,0.9232,0.9263,0.9232,0.9232
21,train,0.0189,0.9970,0.9971,0.9970,0.9970
21,val,0.3352,0.9188,0.9242,0.9188,0.9181
22,train,0.0204,0.9970,0.9971,0.9970,0.9970
22,val,0.4800,0.9040,0.9203,0.9040,0.9046
23,train,0.0249,0.9948,0.9949,0.9948,0.9948
23,val,0.3934,0.9099,0.9191,0.9099,0.9091
24,train,0.0189,0.9970,0.9971,0.9970,0.9970
24,val,0.3209,0.9306,0.9318,0.9306,0.9307
25,train,0.0096,0.9985,0.9985,0.9985,0.9985
25,val,0.3276,0.9232,0.9254,0.9232,0.9232
26,train,0.0104,0.9978,0.9978,0.9978,0.9978
26,val,0.3449,0.9321,0.9356,0.9321,0.9322
27,train,0.0234,0.9948,0.9949,0.9948,0.9948
27,val,0.4055,0.9158,0.9172,0.9158,0.9141
28,train,0.0274,0.9948,0.9948,0.9948,0.9948
28,val,0.3682,0.9247,0.9266,0.9247,0.9242
29,train,0.0249,0.9930,0.9931,0.9930,0.9930
29,val,0.3400,0.9247,0.9265,0.9247,0.9247
30,train,0.0184,0.9959,0.9960,0.9959,0.9959
30,val,0.3705,0.9129,0.9200,0.9129,0.9122
31,train,0.0222,0.9934,0.9934,0.9934,0.9934
31,val,0.4015,0.9143,0.9203,0.9143,0.9142
Evaluation Metrics:
Accuracy: 0.9350, Precision: 0.9365, Recall: 0.9350, F1 Score: 0.9352

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8100, Precision: 0.8494, Recall: 0.8100, F1 Score: 0.7872
Model Summary:
Total params: 26832552
Trainable params: 26832552
