Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.1866,0.7695,0.7828,0.7695,0.7703
1,val,0.5135,0.9143,0.9146,0.9143,0.9018
2,train,0.4396,0.9036,0.9037,0.9036,0.9034
2,val,0.3463,0.9276,0.9277,0.9276,0.9223
3,train,0.2578,0.9472,0.9473,0.9472,0.9471
3,val,0.2683,0.9321,0.9346,0.9321,0.9319
4,train,0.2114,0.9564,0.9566,0.9564,0.9564
4,val,0.2899,0.9291,0.9279,0.9291,0.9254
5,train,0.1354,0.9749,0.9750,0.9749,0.9749
5,val,0.2454,0.9335,0.9358,0.9335,0.9335
6,train,0.1154,0.9786,0.9786,0.9786,0.9785
6,val,0.2686,0.9335,0.9438,0.9335,0.9315
7,train,0.1154,0.9760,0.9760,0.9760,0.9760
7,val,0.2468,0.9321,0.9360,0.9321,0.9310
8,train,0.0895,0.9834,0.9835,0.9834,0.9834
8,val,0.2626,0.9261,0.9284,0.9261,0.9255
9,train,0.0872,0.9808,0.9809,0.9808,0.9808
9,val,0.2974,0.9291,0.9309,0.9291,0.9289
10,train,0.0628,0.9897,0.9897,0.9897,0.9897
10,val,0.2608,0.9380,0.9567,0.9380,0.9343
11,train,0.0687,0.9885,0.9886,0.9885,0.9886
11,val,0.3121,0.9217,0.9252,0.9217,0.9212
12,train,0.0605,0.9871,0.9871,0.9871,0.9871
12,val,0.3096,0.9291,0.9413,0.9291,0.9270
13,train,0.0640,0.9867,0.9868,0.9867,0.9867
13,val,0.2274,0.9453,0.9466,0.9453,0.9455
14,train,0.0588,0.9882,0.9882,0.9882,0.9882
14,val,0.3360,0.9188,0.9247,0.9188,0.9182
15,train,0.0515,0.9897,0.9897,0.9897,0.9897
15,val,0.3266,0.9188,0.9205,0.9188,0.9182
16,train,0.0533,0.9897,0.9897,0.9897,0.9897
16,val,0.2704,0.9276,0.9303,0.9276,0.9271
17,train,0.0478,0.9893,0.9894,0.9893,0.9893
17,val,0.2573,0.9394,0.9414,0.9394,0.9393
18,train,0.0638,0.9856,0.9856,0.9856,0.9856
18,val,0.3308,0.9291,0.9399,0.9291,0.9270
19,train,0.0334,0.9922,0.9923,0.9922,0.9922
19,val,0.2443,0.9350,0.9368,0.9350,0.9353
20,train,0.0342,0.9922,0.9923,0.9922,0.9922
20,val,0.2766,0.9321,0.9337,0.9321,0.9315
21,train,0.0570,0.9863,0.9864,0.9863,0.9863
21,val,0.2671,0.9439,0.9445,0.9439,0.9431
22,train,0.0296,0.9941,0.9941,0.9941,0.9941
22,val,0.2572,0.9468,0.9476,0.9468,0.9468
23,train,0.0248,0.9941,0.9941,0.9941,0.9941
23,val,0.2681,0.9335,0.9346,0.9335,0.9329
24,train,0.0247,0.9945,0.9945,0.9945,0.9945
24,val,0.2840,0.9380,0.9389,0.9380,0.9377
25,train,0.0310,0.9930,0.9930,0.9930,0.9930
25,val,0.2649,0.9424,0.9425,0.9424,0.9416
26,train,0.0358,0.9919,0.9919,0.9919,0.9919
26,val,0.2909,0.9306,0.9343,0.9306,0.9305
27,train,0.0314,0.9922,0.9923,0.9922,0.9922
27,val,0.3651,0.9247,0.9441,0.9247,0.9154
28,train,0.0281,0.9945,0.9945,0.9945,0.9945
28,val,0.2169,0.9483,0.9491,0.9483,0.9483
29,train,0.0264,0.9941,0.9941,0.9941,0.9941
29,val,0.2558,0.9439,0.9468,0.9439,0.9440
30,train,0.0366,0.9908,0.9909,0.9908,0.9908
30,val,0.2617,0.9409,0.9419,0.9409,0.9407
31,train,0.0235,0.9941,0.9941,0.9941,0.9941
31,val,0.2574,0.9335,0.9400,0.9335,0.9330
32,train,0.0280,0.9915,0.9915,0.9915,0.9915
32,val,0.2929,0.9365,0.9385,0.9365,0.9361
33,train,0.0192,0.9963,0.9963,0.9963,0.9963
33,val,0.3180,0.9335,0.9344,0.9335,0.9334
34,train,0.0165,0.9959,0.9960,0.9959,0.9959
34,val,0.3975,0.9217,0.9243,0.9217,0.9210
35,train,0.0272,0.9934,0.9934,0.9934,0.9933
35,val,0.3397,0.9321,0.9351,0.9321,0.9325
36,train,0.0251,0.9934,0.9934,0.9934,0.9934
36,val,0.3266,0.9380,0.9431,0.9380,0.9379
37,train,0.0314,0.9915,0.9915,0.9915,0.9915
37,val,0.3799,0.9261,0.9308,0.9261,0.9266
38,train,0.0121,0.9982,0.9982,0.9982,0.9982
38,val,0.3713,0.9306,0.9320,0.9306,0.9307
39,train,0.0267,0.9934,0.9934,0.9934,0.9934
39,val,0.3749,0.9291,0.9312,0.9291,0.9293
40,train,0.0309,0.9937,0.9938,0.9937,0.9937
40,val,0.2937,0.9291,0.9306,0.9291,0.9287
41,train,0.0244,0.9956,0.9956,0.9956,0.9956
41,val,0.3450,0.9306,0.9321,0.9306,0.9303
42,train,0.0099,0.9967,0.9967,0.9967,0.9967
42,val,0.3252,0.9380,0.9389,0.9380,0.9377
43,train,0.0210,0.9952,0.9952,0.9952,0.9952
43,val,0.3127,0.9350,0.9362,0.9350,0.9349
44,train,0.0101,0.9978,0.9978,0.9978,0.9978
44,val,0.3774,0.9261,0.9287,0.9261,0.9261
45,train,0.0234,0.9945,0.9945,0.9945,0.9944
45,val,0.4169,0.9247,0.9258,0.9247,0.9246
46,train,0.0148,0.9967,0.9967,0.9967,0.9967
46,val,0.3421,0.9424,0.9431,0.9424,0.9423
47,train,0.0170,0.9948,0.9948,0.9948,0.9948
47,val,0.3790,0.9247,0.9259,0.9247,0.9244
48,train,0.0261,0.9922,0.9923,0.9922,0.9922
48,val,0.3891,0.9261,0.9288,0.9261,0.9258
49,train,0.0255,0.9930,0.9931,0.9930,0.9930
49,val,0.4004,0.9276,0.9340,0.9276,0.9260
50,train,0.0315,0.9930,0.9930,0.9930,0.9930
50,val,0.3904,0.9276,0.9380,0.9276,0.9266
51,train,0.0258,0.9934,0.9934,0.9934,0.9933
51,val,0.3208,0.9394,0.9434,0.9394,0.9389
52,train,0.0096,0.9974,0.9974,0.9974,0.9974
52,val,0.3137,0.9439,0.9444,0.9439,0.9436
53,train,0.0163,0.9963,0.9963,0.9963,0.9963
53,val,0.2451,0.9542,0.9547,0.9542,0.9542
Evaluation Metrics:
Accuracy: 0.9483, Precision: 0.9491, Recall: 0.9483, F1 Score: 0.9483

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8775, Precision: 0.8910, Recall: 0.8775, F1 Score: 0.8672
Model Summary:
Total params: 54641320
Trainable params: 54641320
