Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.2024,0.4444,0.5539,0.4444,0.4446
1,val,1.9732,0.5657,0.6158,0.5657,0.5169
2,train,0.9671,0.8079,0.8149,0.8079,0.8032
2,val,0.9118,0.8316,0.8613,0.8316,0.8300
3,train,0.5050,0.9017,0.9018,0.9017,0.9015
3,val,0.4791,0.8996,0.9176,0.8996,0.8993
4,train,0.3149,0.9350,0.9348,0.9350,0.9344
4,val,0.3049,0.9291,0.9331,0.9291,0.9289
5,train,0.2043,0.9608,0.9606,0.9608,0.9607
5,val,0.2451,0.9365,0.9427,0.9365,0.9376
6,train,0.1546,0.9690,0.9691,0.9690,0.9690
6,val,0.1993,0.9394,0.9432,0.9394,0.9401
7,train,0.0967,0.9845,0.9846,0.9845,0.9845
7,val,0.1985,0.9483,0.9537,0.9483,0.9486
8,train,0.0788,0.9874,0.9875,0.9874,0.9874
8,val,0.2017,0.9483,0.9565,0.9483,0.9483
9,train,0.0699,0.9849,0.9849,0.9849,0.9848
9,val,0.2044,0.9409,0.9541,0.9409,0.9400
10,train,0.0619,0.9885,0.9886,0.9885,0.9885
10,val,0.2256,0.9439,0.9539,0.9439,0.9440
11,train,0.0529,0.9904,0.9904,0.9904,0.9904
11,val,0.1766,0.9527,0.9584,0.9527,0.9531
12,train,0.0405,0.9926,0.9926,0.9926,0.9926
12,val,0.2070,0.9453,0.9484,0.9453,0.9457
13,train,0.0439,0.9930,0.9930,0.9930,0.9930
13,val,0.2151,0.9513,0.9591,0.9513,0.9514
14,train,0.0276,0.9952,0.9952,0.9952,0.9952
14,val,0.1787,0.9601,0.9660,0.9601,0.9604
15,train,0.0268,0.9959,0.9960,0.9959,0.9959
15,val,0.1792,0.9527,0.9553,0.9527,0.9529
16,train,0.0271,0.9952,0.9952,0.9952,0.9952
16,val,0.2127,0.9557,0.9622,0.9557,0.9559
17,train,0.0266,0.9952,0.9952,0.9952,0.9952
17,val,0.2801,0.9380,0.9516,0.9380,0.9371
18,train,0.0277,0.9956,0.9956,0.9956,0.9956
18,val,0.1886,0.9557,0.9610,0.9557,0.9559
19,train,0.0270,0.9945,0.9945,0.9945,0.9945
19,val,0.2164,0.9453,0.9544,0.9453,0.9459
20,train,0.0247,0.9952,0.9952,0.9952,0.9952
20,val,0.2377,0.9453,0.9515,0.9453,0.9458
21,train,0.0195,0.9952,0.9952,0.9952,0.9952
21,val,0.1876,0.9527,0.9556,0.9527,0.9531
22,train,0.0177,0.9967,0.9967,0.9967,0.9967
22,val,0.1934,0.9483,0.9509,0.9483,0.9483
23,train,0.0203,0.9967,0.9967,0.9967,0.9967
23,val,0.2212,0.9527,0.9539,0.9527,0.9519
24,train,0.0180,0.9978,0.9978,0.9978,0.9978
24,val,0.2065,0.9513,0.9546,0.9513,0.9513
25,train,0.0149,0.9974,0.9974,0.9974,0.9974
25,val,0.2031,0.9527,0.9537,0.9527,0.9525
26,train,0.0155,0.9963,0.9963,0.9963,0.9963
26,val,0.1998,0.9557,0.9570,0.9557,0.9557
27,train,0.0089,0.9989,0.9989,0.9989,0.9989
27,val,0.2320,0.9498,0.9534,0.9498,0.9501
28,train,0.0125,0.9974,0.9974,0.9974,0.9974
28,val,0.2337,0.9527,0.9601,0.9527,0.9530
29,train,0.0177,0.9956,0.9956,0.9956,0.9956
29,val,0.1829,0.9557,0.9578,0.9557,0.9558
30,train,0.0207,0.9945,0.9945,0.9945,0.9945
30,val,0.2035,0.9542,0.9586,0.9542,0.9546
31,train,0.0139,0.9982,0.9982,0.9982,0.9982
31,val,0.2145,0.9424,0.9448,0.9424,0.9425
32,train,0.0096,0.9985,0.9985,0.9985,0.9985
32,val,0.1929,0.9527,0.9534,0.9527,0.9526
33,train,0.0088,0.9982,0.9982,0.9982,0.9981
33,val,0.2065,0.9513,0.9535,0.9513,0.9512
34,train,0.0097,0.9985,0.9985,0.9985,0.9985
34,val,0.1851,0.9572,0.9585,0.9572,0.9573
35,train,0.0072,0.9985,0.9985,0.9985,0.9985
35,val,0.1868,0.9586,0.9587,0.9586,0.9584
36,train,0.0086,0.9989,0.9989,0.9989,0.9989
36,val,0.2598,0.9527,0.9571,0.9527,0.9533
Evaluation Metrics:
Accuracy: 0.9527, Precision: 0.9584, Recall: 0.9527, F1 Score: 0.9531

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8700, Precision: 0.8911, Recall: 0.8700, F1 Score: 0.8684
Model Summary:
Total params: 42198200
Trainable params: 42198200
