Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.3055,0.3986,0.5187,0.3986,0.4084
1,val,2.1482,0.4904,0.6753,0.4904,0.4926
2,train,1.0611,0.7843,0.7927,0.7843,0.7768
2,val,1.0167,0.8168,0.8478,0.8168,0.8202
3,train,0.5251,0.8914,0.8922,0.8914,0.8910
3,val,0.4859,0.8996,0.9040,0.8996,0.8999
4,train,0.3272,0.9269,0.9274,0.9269,0.9270
4,val,0.3251,0.9276,0.9294,0.9276,0.9277
5,train,0.1983,0.9664,0.9664,0.9664,0.9663
5,val,0.2941,0.9217,0.9241,0.9217,0.9214
6,train,0.1588,0.9668,0.9669,0.9668,0.9667
6,val,0.2344,0.9394,0.9397,0.9394,0.9392
7,train,0.1061,0.9845,0.9846,0.9845,0.9845
7,val,0.2644,0.9321,0.9354,0.9321,0.9321
8,train,0.0803,0.9871,0.9871,0.9871,0.9871
8,val,0.2566,0.9365,0.9380,0.9365,0.9365
9,train,0.0754,0.9852,0.9853,0.9852,0.9852
9,val,0.2542,0.9350,0.9373,0.9350,0.9352
10,train,0.0699,0.9871,0.9871,0.9871,0.9871
10,val,0.2398,0.9365,0.9388,0.9365,0.9367
11,train,0.0477,0.9930,0.9930,0.9930,0.9930
11,val,0.2515,0.9350,0.9354,0.9350,0.9347
12,train,0.0422,0.9904,0.9905,0.9904,0.9904
12,val,0.2815,0.9291,0.9312,0.9291,0.9290
13,train,0.0326,0.9948,0.9948,0.9948,0.9948
13,val,0.2663,0.9276,0.9285,0.9276,0.9275
14,train,0.0287,0.9959,0.9960,0.9959,0.9959
14,val,0.2872,0.9380,0.9387,0.9380,0.9380
15,train,0.0236,0.9974,0.9974,0.9974,0.9974
15,val,0.3007,0.9276,0.9301,0.9276,0.9277
16,train,0.0248,0.9956,0.9956,0.9956,0.9956
16,val,0.3068,0.9261,0.9283,0.9261,0.9260
17,train,0.0269,0.9959,0.9960,0.9959,0.9959
17,val,0.2766,0.9380,0.9384,0.9380,0.9373
18,train,0.0229,0.9952,0.9952,0.9952,0.9952
18,val,0.2547,0.9468,0.9475,0.9468,0.9469
19,train,0.0182,0.9963,0.9963,0.9963,0.9963
19,val,0.3161,0.9306,0.9329,0.9306,0.9308
20,train,0.0268,0.9941,0.9941,0.9941,0.9941
20,val,0.3043,0.9380,0.9396,0.9380,0.9373
21,train,0.0197,0.9959,0.9960,0.9959,0.9959
21,val,0.2849,0.9468,0.9478,0.9468,0.9461
22,train,0.0234,0.9941,0.9941,0.9941,0.9941
22,val,0.3244,0.9365,0.9374,0.9365,0.9363
23,train,0.0222,0.9945,0.9945,0.9945,0.9945
23,val,0.3044,0.9365,0.9375,0.9365,0.9365
24,train,0.0234,0.9956,0.9956,0.9956,0.9956
24,val,0.2912,0.9350,0.9360,0.9350,0.9349
25,train,0.0121,0.9982,0.9982,0.9982,0.9982
25,val,0.2878,0.9365,0.9385,0.9365,0.9355
26,train,0.0203,0.9959,0.9959,0.9959,0.9959
26,val,0.3035,0.9350,0.9361,0.9350,0.9350
27,train,0.0138,0.9974,0.9974,0.9974,0.9974
27,val,0.3045,0.9409,0.9419,0.9409,0.9411
28,train,0.0109,0.9978,0.9978,0.9978,0.9978
28,val,0.3351,0.9350,0.9361,0.9350,0.9348
29,train,0.0123,0.9974,0.9974,0.9974,0.9974
29,val,0.2948,0.9291,0.9309,0.9291,0.9288
30,train,0.0239,0.9948,0.9948,0.9948,0.9948
30,val,0.2741,0.9394,0.9398,0.9394,0.9391
31,train,0.0260,0.9922,0.9923,0.9922,0.9922
31,val,0.3027,0.9380,0.9389,0.9380,0.9380
Evaluation Metrics:
Accuracy: 0.9394, Precision: 0.9397, Recall: 0.9394, F1 Score: 0.9392

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7800, Precision: 0.8501, Recall: 0.7800, F1 Score: 0.7717
Model Summary:
Total params: 64306824
Trainable params: 64,306,824
