Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.5786,0.6697,0.7000,0.6697,0.6639
1,val,0.6528,0.8936,0.8961,0.8936,0.8906
2,train,0.5438,0.8955,0.8952,0.8955,0.8944
2,val,0.3771,0.9217,0.9243,0.9217,0.9166
3,train,0.3410,0.9280,0.9280,0.9280,0.9279
3,val,0.2946,0.9114,0.9283,0.9114,0.9012
4,train,0.2310,0.9527,0.9527,0.9527,0.9527
4,val,0.2435,0.9335,0.9326,0.9335,0.9317
5,train,0.1816,0.9546,0.9549,0.9546,0.9547
5,val,0.2405,0.9276,0.9359,0.9276,0.9256
6,train,0.1480,0.9664,0.9665,0.9664,0.9663
6,val,0.2308,0.9335,0.9460,0.9335,0.9307
7,train,0.1103,0.9804,0.9807,0.9804,0.9804
7,val,0.2648,0.9247,0.9257,0.9247,0.9244
8,train,0.0809,0.9871,0.9871,0.9871,0.9871
8,val,0.2189,0.9394,0.9394,0.9394,0.9386
9,train,0.0714,0.9874,0.9875,0.9874,0.9874
9,val,0.2229,0.9439,0.9438,0.9439,0.9437
10,train,0.0614,0.9885,0.9886,0.9885,0.9885
10,val,0.2553,0.9335,0.9337,0.9335,0.9335
11,train,0.0534,0.9897,0.9897,0.9897,0.9897
11,val,0.2798,0.9306,0.9355,0.9306,0.9296
12,train,0.0486,0.9922,0.9923,0.9922,0.9922
12,val,0.2802,0.9335,0.9385,0.9335,0.9329
13,train,0.0499,0.9900,0.9901,0.9900,0.9900
13,val,0.2657,0.9306,0.9333,0.9306,0.9302
14,train,0.0342,0.9941,0.9941,0.9941,0.9941
14,val,0.2562,0.9365,0.9371,0.9365,0.9363
15,train,0.0330,0.9945,0.9945,0.9945,0.9945
15,val,0.2641,0.9409,0.9420,0.9409,0.9407
16,train,0.0302,0.9945,0.9945,0.9945,0.9945
16,val,0.2825,0.9394,0.9485,0.9394,0.9372
17,train,0.0251,0.9952,0.9952,0.9952,0.9952
17,val,0.3276,0.9365,0.9464,0.9365,0.9345
18,train,0.0213,0.9963,0.9963,0.9963,0.9963
18,val,0.2652,0.9468,0.9472,0.9468,0.9454
19,train,0.0157,0.9985,0.9985,0.9985,0.9985
19,val,0.2723,0.9409,0.9404,0.9409,0.9400
20,train,0.0141,0.9982,0.9982,0.9982,0.9982
20,val,0.2970,0.9365,0.9397,0.9365,0.9359
21,train,0.0152,0.9985,0.9985,0.9985,0.9985
21,val,0.2735,0.9453,0.9453,0.9453,0.9441
22,train,0.0201,0.9956,0.9956,0.9956,0.9956
22,val,0.3112,0.9380,0.9409,0.9380,0.9377
23,train,0.0120,0.9982,0.9982,0.9982,0.9981
23,val,0.2823,0.9409,0.9409,0.9409,0.9402
24,train,0.0194,0.9956,0.9956,0.9956,0.9956
24,val,0.3131,0.9394,0.9388,0.9394,0.9378
25,train,0.0151,0.9978,0.9978,0.9978,0.9978
25,val,0.3114,0.9424,0.9483,0.9424,0.9418
26,train,0.0225,0.9959,0.9960,0.9959,0.9959
26,val,0.3120,0.9350,0.9353,0.9350,0.9348
27,train,0.0188,0.9959,0.9960,0.9959,0.9959
27,val,0.3155,0.9321,0.9336,0.9321,0.9316
28,train,0.0178,0.9956,0.9956,0.9956,0.9956
28,val,0.3146,0.9439,0.9438,0.9439,0.9426
29,train,0.0093,0.9985,0.9985,0.9985,0.9985
29,val,0.2973,0.9409,0.9413,0.9409,0.9408
30,train,0.0172,0.9959,0.9960,0.9959,0.9959
30,val,0.3261,0.9365,0.9376,0.9365,0.9362
31,train,0.0186,0.9959,0.9960,0.9959,0.9959
31,val,0.2880,0.9468,0.9473,0.9468,0.9462
32,train,0.0146,0.9970,0.9971,0.9970,0.9970
32,val,0.3648,0.9321,0.9326,0.9321,0.9294
33,train,0.0286,0.9915,0.9915,0.9915,0.9915
33,val,0.3292,0.9350,0.9348,0.9350,0.9342
Evaluation Metrics:
Accuracy: 0.9394, Precision: 0.9394, Recall: 0.9394, F1 Score: 0.9386

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8700, Precision: 0.8769, Recall: 0.8700, F1 Score: 0.8600
Model Summary:
Total params: 10500136
Trainable params: 10500136
