Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.8441,0.5866,0.6356,0.5866,0.5817
1,val,1.4815,0.7489,0.7933,0.7489,0.7402
2,train,0.6786,0.8866,0.8878,0.8866,0.8861
2,val,0.6332,0.8966,0.9034,0.8966,0.8846
3,train,0.3598,0.9342,0.9349,0.9342,0.9339
3,val,0.3349,0.9424,0.9443,0.9424,0.9422
4,train,0.2405,0.9538,0.9539,0.9538,0.9538
4,val,0.2514,0.9409,0.9418,0.9409,0.9409
5,train,0.1691,0.9697,0.9699,0.9697,0.9697
5,val,0.2061,0.9439,0.9448,0.9439,0.9437
6,train,0.1144,0.9852,0.9853,0.9852,0.9852
6,val,0.2415,0.9409,0.9437,0.9409,0.9397
7,train,0.0891,0.9885,0.9886,0.9885,0.9885
7,val,0.2103,0.9409,0.9417,0.9409,0.9408
8,train,0.0791,0.9882,0.9882,0.9882,0.9882
8,val,0.2240,0.9380,0.9395,0.9380,0.9377
9,train,0.0534,0.9922,0.9923,0.9922,0.9922
9,val,0.2461,0.9394,0.9456,0.9394,0.9366
10,train,0.0540,0.9911,0.9912,0.9911,0.9911
10,val,0.2347,0.9409,0.9422,0.9409,0.9409
11,train,0.0338,0.9974,0.9974,0.9974,0.9974
11,val,0.2792,0.9350,0.9384,0.9350,0.9339
12,train,0.0313,0.9956,0.9956,0.9956,0.9956
12,val,0.2428,0.9424,0.9435,0.9424,0.9423
13,train,0.0371,0.9941,0.9941,0.9941,0.9941
13,val,0.2666,0.9276,0.9283,0.9276,0.9274
14,train,0.0237,0.9974,0.9974,0.9974,0.9974
14,val,0.2639,0.9409,0.9442,0.9409,0.9398
15,train,0.0174,0.9982,0.9982,0.9982,0.9982
15,val,0.2602,0.9394,0.9425,0.9394,0.9383
16,train,0.0217,0.9959,0.9959,0.9959,0.9959
16,val,0.2428,0.9394,0.9405,0.9394,0.9391
17,train,0.0215,0.9970,0.9971,0.9970,0.9970
17,val,0.2666,0.9365,0.9397,0.9365,0.9358
18,train,0.0193,0.9982,0.9982,0.9982,0.9982
18,val,0.2309,0.9380,0.9387,0.9380,0.9379
19,train,0.0172,0.9978,0.9978,0.9978,0.9978
19,val,0.2583,0.9380,0.9394,0.9380,0.9374
20,train,0.0132,0.9985,0.9985,0.9985,0.9985
20,val,0.2742,0.9439,0.9443,0.9439,0.9437
21,train,0.0126,0.9989,0.9989,0.9989,0.9989
21,val,0.2891,0.9424,0.9430,0.9424,0.9424
22,train,0.0196,0.9959,0.9960,0.9959,0.9959
22,val,0.2881,0.9380,0.9411,0.9380,0.9368
23,train,0.0124,0.9985,0.9985,0.9985,0.9985
23,val,0.2953,0.9350,0.9358,0.9350,0.9350
24,train,0.0141,0.9989,0.9989,0.9989,0.9989
24,val,0.3125,0.9394,0.9404,0.9394,0.9394
25,train,0.0110,0.9989,0.9989,0.9989,0.9989
25,val,0.2961,0.9350,0.9358,0.9350,0.9347
26,train,0.0114,0.9985,0.9985,0.9985,0.9985
26,val,0.3115,0.9380,0.9392,0.9380,0.9376
27,train,0.0078,0.9996,0.9996,0.9996,0.9996
27,val,0.3170,0.9424,0.9432,0.9424,0.9420
28,train,0.0172,0.9967,0.9967,0.9967,0.9967
28,val,0.3053,0.9380,0.9408,0.9380,0.9372
29,train,0.0089,0.9982,0.9982,0.9982,0.9982
29,val,0.2813,0.9350,0.9354,0.9350,0.9348
30,train,0.0173,0.9959,0.9960,0.9959,0.9959
30,val,0.3108,0.9335,0.9357,0.9335,0.9326
Evaluation Metrics:
Accuracy: 0.9439, Precision: 0.9448, Recall: 0.9439, F1 Score: 0.9437

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7325, Precision: 0.8396, Recall: 0.7325, F1 Score: 0.7228
Model Summary:
Total params: 14456456
Trainable params: 14456456
