Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.2257,0.4429,0.4591,0.4429,0.4184
1,val,1.7750,0.6617,0.7349,0.6617,0.6456
2,train,1.0984,0.8027,0.8167,0.8027,0.7911
2,val,0.8940,0.8508,0.8880,0.8508,0.8280
3,train,0.6220,0.8873,0.8895,0.8873,0.8856
3,val,0.5254,0.8966,0.9001,0.8966,0.8963
4,train,0.3963,0.9320,0.9321,0.9320,0.9320
4,val,0.3099,0.9291,0.9320,0.9291,0.9287
5,train,0.2888,0.9468,0.9467,0.9468,0.9467
5,val,0.2322,0.9380,0.9392,0.9380,0.9379
6,train,0.1966,0.9671,0.9672,0.9671,0.9671
6,val,0.1918,0.9380,0.9381,0.9380,0.9361
7,train,0.1541,0.9741,0.9744,0.9741,0.9741
7,val,0.1913,0.9409,0.9427,0.9409,0.9391
8,train,0.1087,0.9804,0.9804,0.9804,0.9804
8,val,0.1825,0.9453,0.9462,0.9453,0.9445
9,train,0.0897,0.9878,0.9879,0.9878,0.9878
9,val,0.1984,0.9394,0.9471,0.9394,0.9383
10,train,0.0748,0.9889,0.9890,0.9889,0.9889
10,val,0.1701,0.9468,0.9483,0.9468,0.9453
11,train,0.0540,0.9948,0.9949,0.9948,0.9948
11,val,0.2351,0.9321,0.9383,0.9321,0.9302
12,train,0.0449,0.9952,0.9952,0.9952,0.9952
12,val,0.1913,0.9439,0.9455,0.9439,0.9423
13,train,0.0426,0.9948,0.9949,0.9948,0.9948
13,val,0.2154,0.9394,0.9392,0.9394,0.9389
14,train,0.0374,0.9967,0.9967,0.9967,0.9967
14,val,0.2163,0.9394,0.9393,0.9394,0.9384
15,train,0.0271,0.9989,0.9989,0.9989,0.9989
15,val,0.2014,0.9439,0.9441,0.9439,0.9436
16,train,0.0267,0.9985,0.9985,0.9985,0.9985
16,val,0.2047,0.9468,0.9466,0.9468,0.9464
17,train,0.0343,0.9937,0.9937,0.9937,0.9937
17,val,0.2203,0.9380,0.9378,0.9380,0.9360
18,train,0.0271,0.9956,0.9956,0.9956,0.9956
18,val,0.2019,0.9513,0.9580,0.9513,0.9505
19,train,0.0250,0.9963,0.9963,0.9963,0.9963
19,val,0.1775,0.9601,0.9609,0.9601,0.9601
20,train,0.0249,0.9956,0.9956,0.9956,0.9956
20,val,0.2896,0.9321,0.9506,0.9321,0.9260
21,train,0.0257,0.9963,0.9963,0.9963,0.9963
21,val,0.1998,0.9498,0.9509,0.9498,0.9497
22,train,0.0153,0.9978,0.9978,0.9978,0.9978
22,val,0.1854,0.9483,0.9486,0.9483,0.9480
23,train,0.0171,0.9978,0.9978,0.9978,0.9978
23,val,0.2042,0.9513,0.9549,0.9513,0.9511
24,train,0.0126,0.9989,0.9989,0.9989,0.9989
24,val,0.2055,0.9453,0.9462,0.9453,0.9434
25,train,0.0118,0.9985,0.9985,0.9985,0.9985
25,val,0.2025,0.9453,0.9450,0.9453,0.9444
26,train,0.0145,0.9985,0.9985,0.9985,0.9985
26,val,0.2103,0.9483,0.9485,0.9483,0.9474
27,train,0.0133,0.9978,0.9978,0.9978,0.9978
27,val,0.2302,0.9483,0.9489,0.9483,0.9481
28,train,0.0187,0.9959,0.9960,0.9959,0.9959
28,val,0.2328,0.9439,0.9473,0.9439,0.9432
29,train,0.0128,0.9985,0.9985,0.9985,0.9985
29,val,0.2727,0.9380,0.9461,0.9380,0.9361
30,train,0.0110,0.9982,0.9982,0.9982,0.9982
30,val,0.2363,0.9394,0.9411,0.9394,0.9392
31,train,0.0150,0.9967,0.9967,0.9967,0.9967
31,val,0.2763,0.9321,0.9330,0.9321,0.9320
32,train,0.0173,0.9963,0.9963,0.9963,0.9963
32,val,0.2721,0.9409,0.9459,0.9409,0.9403
33,train,0.0166,0.9967,0.9967,0.9967,0.9967
33,val,0.2386,0.9483,0.9485,0.9483,0.9470
34,train,0.0158,0.9967,0.9967,0.9967,0.9967
34,val,0.2349,0.9483,0.9488,0.9483,0.9464
35,train,0.0076,0.9993,0.9993,0.9993,0.9993
35,val,0.2331,0.9513,0.9536,0.9513,0.9511
Evaluation Metrics:
Accuracy: 0.9453, Precision: 0.9469, Recall: 0.9453, F1 Score: 0.9439

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7850, Precision: 0.8533, Recall: 0.7850, F1 Score: 0.7773
Model Summary:
Total params: 14456456
Trainable params: 14456456
