Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.0030,0.5091,0.6035,0.5091,0.5016
1,val,0.9680,0.8493,0.8663,0.8493,0.8464
2,train,0.8418,0.8578,0.8596,0.8578,0.8573
2,val,0.4044,0.9217,0.9252,0.9217,0.9209
3,train,0.4976,0.9076,0.9084,0.9076,0.9073
3,val,0.3128,0.9232,0.9394,0.9232,0.9183
4,train,0.3359,0.9361,0.9358,0.9361,0.9358
4,val,0.2552,0.9350,0.9362,0.9350,0.9344
5,train,0.2579,0.9498,0.9499,0.9498,0.9497
5,val,0.2271,0.9261,0.9529,0.9261,0.9156
6,train,0.1962,0.9601,0.9602,0.9601,0.9600
6,val,0.1921,0.9335,0.9363,0.9335,0.9331
7,train,0.1535,0.9686,0.9689,0.9686,0.9684
7,val,0.2442,0.9173,0.9275,0.9173,0.9112
8,train,0.1189,0.9797,0.9797,0.9797,0.9797
8,val,0.1878,0.9439,0.9459,0.9439,0.9425
9,train,0.1036,0.9826,0.9828,0.9826,0.9826
9,val,0.1944,0.9350,0.9357,0.9350,0.9348
10,train,0.0796,0.9871,0.9873,0.9871,0.9871
10,val,0.2065,0.9350,0.9376,0.9350,0.9348
11,train,0.0651,0.9915,0.9916,0.9915,0.9915
11,val,0.2139,0.9468,0.9488,0.9468,0.9460
12,train,0.0647,0.9882,0.9882,0.9882,0.9882
12,val,0.2835,0.9247,0.9316,0.9247,0.9224
13,train,0.0562,0.9922,0.9923,0.9922,0.9922
13,val,0.2352,0.9439,0.9444,0.9439,0.9438
14,train,0.0459,0.9930,0.9931,0.9930,0.9930
14,val,0.2354,0.9380,0.9419,0.9380,0.9349
15,train,0.0348,0.9959,0.9960,0.9959,0.9959
15,val,0.2663,0.9394,0.9448,0.9394,0.9383
16,train,0.0364,0.9941,0.9941,0.9941,0.9941
16,val,0.3064,0.9321,0.9386,0.9321,0.9306
17,train,0.0300,0.9956,0.9956,0.9956,0.9956
17,val,0.3095,0.9306,0.9420,0.9306,0.9266
18,train,0.0350,0.9934,0.9934,0.9934,0.9933
18,val,0.2845,0.9276,0.9311,0.9276,0.9274
19,train,0.0227,0.9970,0.9971,0.9970,0.9970
19,val,0.2520,0.9439,0.9450,0.9439,0.9432
20,train,0.0265,0.9952,0.9952,0.9952,0.9952
20,val,0.2555,0.9498,0.9503,0.9498,0.9497
21,train,0.0263,0.9945,0.9945,0.9945,0.9945
21,val,0.2738,0.9350,0.9367,0.9350,0.9349
22,train,0.0216,0.9963,0.9963,0.9963,0.9963
22,val,0.2677,0.9365,0.9381,0.9365,0.9366
23,train,0.0282,0.9945,0.9945,0.9945,0.9945
23,val,0.2565,0.9321,0.9334,0.9321,0.9318
24,train,0.0155,0.9970,0.9970,0.9970,0.9970
24,val,0.2906,0.9409,0.9416,0.9409,0.9408
25,train,0.0136,0.9978,0.9978,0.9978,0.9978
25,val,0.2926,0.9335,0.9374,0.9335,0.9330
26,train,0.0152,0.9978,0.9978,0.9978,0.9978
26,val,0.2727,0.9365,0.9376,0.9365,0.9358
27,train,0.0197,0.9956,0.9956,0.9956,0.9956
27,val,0.2859,0.9409,0.9437,0.9409,0.9409
28,train,0.0254,0.9948,0.9949,0.9948,0.9948
28,val,0.2958,0.9409,0.9484,0.9409,0.9397
29,train,0.0279,0.9934,0.9934,0.9934,0.9933
29,val,0.2440,0.9468,0.9477,0.9468,0.9468
30,train,0.0177,0.9978,0.9978,0.9978,0.9978
30,val,0.2688,0.9365,0.9399,0.9365,0.9361
31,train,0.0139,0.9959,0.9960,0.9959,0.9959
31,val,0.2522,0.9424,0.9432,0.9424,0.9421
32,train,0.0108,0.9978,0.9978,0.9978,0.9978
32,val,0.2827,0.9468,0.9482,0.9468,0.9458
33,train,0.0178,0.9956,0.9956,0.9956,0.9956
33,val,0.2992,0.9394,0.9410,0.9394,0.9379
Evaluation Metrics:
Accuracy: 0.9439, Precision: 0.9459, Recall: 0.9439, F1 Score: 0.9425

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8500, Precision: 0.8773, Recall: 0.8500, F1 Score: 0.8488
Model Summary:
Total params: 10500136
Trainable params: 10500136
