Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.5718,0.6782,0.7032,0.6782,0.6795
1,val,0.5780,0.9099,0.9134,0.9099,0.9000
2,train,0.5722,0.9028,0.9030,0.9028,0.9027
2,val,0.3618,0.9321,0.9342,0.9321,0.9318
3,train,0.3666,0.9409,0.9409,0.9409,0.9408
3,val,0.3072,0.9306,0.9418,0.9306,0.9233
4,train,0.2660,0.9579,0.9579,0.9579,0.9579
4,val,0.2462,0.9335,0.9345,0.9335,0.9314
5,train,0.1953,0.9664,0.9664,0.9664,0.9663
5,val,0.2319,0.9276,0.9313,0.9276,0.9271
6,train,0.1474,0.9789,0.9791,0.9789,0.9790
6,val,0.2983,0.9291,0.9427,0.9291,0.9182
7,train,0.1337,0.9793,0.9793,0.9793,0.9793
7,val,0.2527,0.9365,0.9477,0.9365,0.9318
8,train,0.0997,0.9841,0.9842,0.9841,0.9841
8,val,0.2991,0.9261,0.9289,0.9261,0.9251
9,train,0.0978,0.9852,0.9853,0.9852,0.9852
9,val,0.2895,0.9217,0.9239,0.9217,0.9212
10,train,0.0752,0.9878,0.9878,0.9878,0.9878
10,val,0.2211,0.9483,0.9487,0.9483,0.9477
11,train,0.0734,0.9871,0.9871,0.9871,0.9871
11,val,0.1978,0.9439,0.9436,0.9439,0.9433
12,train,0.0759,0.9863,0.9864,0.9863,0.9863
12,val,0.2696,0.9291,0.9330,0.9291,0.9277
13,train,0.0549,0.9922,0.9923,0.9922,0.9922
13,val,0.2217,0.9394,0.9472,0.9394,0.9374
14,train,0.0602,0.9893,0.9894,0.9893,0.9893
14,val,0.2727,0.9365,0.9432,0.9365,0.9357
15,train,0.0559,0.9889,0.9890,0.9889,0.9889
15,val,0.2578,0.9350,0.9362,0.9350,0.9347
16,train,0.0513,0.9885,0.9886,0.9885,0.9886
16,val,0.2538,0.9335,0.9354,0.9335,0.9337
17,train,0.0399,0.9934,0.9934,0.9934,0.9933
17,val,0.2395,0.9453,0.9456,0.9453,0.9450
18,train,0.0410,0.9926,0.9927,0.9926,0.9926
18,val,0.2620,0.9439,0.9459,0.9439,0.9435
19,train,0.0471,0.9904,0.9904,0.9904,0.9904
19,val,0.2528,0.9380,0.9382,0.9380,0.9368
20,train,0.0423,0.9908,0.9908,0.9908,0.9908
20,val,0.2312,0.9394,0.9411,0.9394,0.9389
21,train,0.0360,0.9919,0.9919,0.9919,0.9919
21,val,0.3382,0.9232,0.9274,0.9232,0.9230
22,train,0.0419,0.9893,0.9893,0.9893,0.9893
22,val,0.2771,0.9394,0.9424,0.9394,0.9393
23,train,0.0411,0.9911,0.9912,0.9911,0.9911
23,val,0.2752,0.9306,0.9316,0.9306,0.9292
24,train,0.0303,0.9941,0.9941,0.9941,0.9941
24,val,0.3937,0.9158,0.9214,0.9158,0.9143
25,train,0.0406,0.9897,0.9897,0.9897,0.9897
25,val,0.3093,0.9335,0.9341,0.9335,0.9311
26,train,0.0485,0.9893,0.9894,0.9893,0.9893
26,val,0.3166,0.9291,0.9317,0.9291,0.9289
27,train,0.0460,0.9897,0.9898,0.9897,0.9897
27,val,0.3313,0.9306,0.9359,0.9306,0.9292
28,train,0.0235,0.9963,0.9963,0.9963,0.9963
28,val,0.3145,0.9291,0.9310,0.9291,0.9287
29,train,0.0224,0.9948,0.9949,0.9948,0.9948
29,val,0.2668,0.9409,0.9425,0.9409,0.9404
30,train,0.0290,0.9926,0.9926,0.9926,0.9926
30,val,0.3422,0.9365,0.9385,0.9365,0.9327
31,train,0.0317,0.9922,0.9923,0.9922,0.9922
31,val,0.2987,0.9453,0.9450,0.9453,0.9449
32,train,0.0227,0.9945,0.9945,0.9945,0.9945
32,val,0.3488,0.9321,0.9384,0.9321,0.9304
33,train,0.0273,0.9941,0.9941,0.9941,0.9941
33,val,0.2907,0.9394,0.9393,0.9394,0.9378
34,train,0.0266,0.9952,0.9953,0.9952,0.9952
34,val,0.3009,0.9394,0.9409,0.9394,0.9391
35,train,0.0183,0.9956,0.9956,0.9956,0.9956
35,val,0.3497,0.9291,0.9316,0.9291,0.9289
36,train,0.0304,0.9926,0.9927,0.9926,0.9926
36,val,0.3176,0.9291,0.9333,0.9291,0.9290
Evaluation Metrics:
Accuracy: 0.9439, Precision: 0.9436, Recall: 0.9439, F1 Score: 0.9433

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8725, Precision: 0.9026, Recall: 0.8725, F1 Score: 0.8680
Model Summary:
Total params: 54641320
Trainable params: 54641320
