Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.1006,0.7421,0.7498,0.7421,0.7415
1,val,0.3620,0.8833,0.8599,0.8833,0.8649
2,train,0.2888,0.9224,0.9224,0.9224,0.9221
2,val,0.2760,0.8996,0.9110,0.8996,0.8937
3,train,0.1644,0.9571,0.9568,0.9571,0.9569
3,val,0.3099,0.9084,0.9352,0.9084,0.8993
4,train,0.1267,0.9675,0.9675,0.9675,0.9674
4,val,0.2328,0.9173,0.9166,0.9173,0.9024
5,train,0.0943,0.9741,0.9740,0.9741,0.9740
5,val,0.2349,0.9291,0.9372,0.9291,0.9284
6,train,0.0391,0.9937,0.9937,0.9937,0.9937
6,val,0.2482,0.9335,0.9365,0.9335,0.9296
7,train,0.0298,0.9959,0.9960,0.9959,0.9959
7,val,0.2577,0.9217,0.9255,0.9217,0.9217
8,train,0.0303,0.9941,0.9941,0.9941,0.9941
8,val,0.2110,0.9306,0.9315,0.9306,0.9296
9,train,0.0230,0.9945,0.9945,0.9945,0.9945
9,val,0.2487,0.9247,0.9275,0.9247,0.9250
10,train,0.0145,0.9985,0.9985,0.9985,0.9985
10,val,0.2486,0.9321,0.9406,0.9321,0.9316
11,train,0.0246,0.9941,0.9941,0.9941,0.9941
11,val,0.2446,0.9350,0.9398,0.9350,0.9349
12,train,0.0315,0.9911,0.9912,0.9911,0.9911
12,val,0.2175,0.9439,0.9450,0.9439,0.9439
13,train,0.0231,0.9948,0.9948,0.9948,0.9948
13,val,0.2586,0.9321,0.9360,0.9321,0.9320
14,train,0.0100,0.9982,0.9982,0.9982,0.9982
14,val,0.2772,0.9261,0.9273,0.9261,0.9260
15,train,0.0202,0.9952,0.9952,0.9952,0.9952
15,val,0.2635,0.9350,0.9384,0.9350,0.9348
16,train,0.0094,0.9989,0.9989,0.9989,0.9989
16,val,0.2648,0.9232,0.9280,0.9232,0.9239
17,train,0.0185,0.9952,0.9952,0.9952,0.9952
17,val,0.2888,0.9217,0.9272,0.9217,0.9214
18,train,0.0175,0.9948,0.9948,0.9948,0.9948
18,val,0.3577,0.9188,0.9264,0.9188,0.9187
19,train,0.0128,0.9978,0.9978,0.9978,0.9978
19,val,0.2784,0.9306,0.9349,0.9306,0.9305
20,train,0.0092,0.9982,0.9982,0.9982,0.9982
20,val,0.2928,0.9350,0.9423,0.9350,0.9348
21,train,0.0182,0.9948,0.9948,0.9948,0.9948
21,val,0.3064,0.9232,0.9284,0.9232,0.9235
22,train,0.0151,0.9974,0.9974,0.9974,0.9974
22,val,0.2691,0.9335,0.9372,0.9335,0.9339
23,train,0.0120,0.9959,0.9959,0.9959,0.9959
23,val,0.3013,0.9261,0.9291,0.9261,0.9257
24,train,0.0171,0.9959,0.9960,0.9959,0.9959
24,val,0.2934,0.9247,0.9293,0.9247,0.9251
25,train,0.0098,0.9982,0.9982,0.9982,0.9982
25,val,0.2869,0.9276,0.9292,0.9276,0.9276
26,train,0.0139,0.9956,0.9956,0.9956,0.9956
26,val,0.3608,0.9114,0.9148,0.9114,0.9112
27,train,0.0118,0.9978,0.9978,0.9978,0.9978
27,val,0.2776,0.9350,0.9363,0.9350,0.9344
28,train,0.0139,0.9963,0.9963,0.9963,0.9963
28,val,0.2899,0.9291,0.9312,0.9291,0.9291
29,train,0.0158,0.9959,0.9960,0.9959,0.9959
29,val,0.3349,0.9247,0.9300,0.9247,0.9244
30,train,0.0249,0.9941,0.9941,0.9941,0.9941
30,val,0.4277,0.9232,0.9409,0.9232,0.9208
31,train,0.0091,0.9982,0.9982,0.9982,0.9982
31,val,0.2831,0.9380,0.9398,0.9380,0.9379
32,train,0.0096,0.9963,0.9963,0.9963,0.9963
32,val,0.3121,0.9247,0.9309,0.9247,0.9252
33,train,0.0175,0.9956,0.9956,0.9956,0.9956
33,val,0.3219,0.9291,0.9337,0.9291,0.9294
Evaluation Metrics:
Accuracy: 0.9306, Precision: 0.9315, Recall: 0.9306, F1 Score: 0.9296

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8475, Precision: 0.8741, Recall: 0.8475, F1 Score: 0.8323
Model Summary:
Total params: 26579112
Trainable params: 26579112
