Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.8409,0.5419,0.5860,0.5419,0.5233
1,val,1.6368,0.6100,0.7055,0.6100,0.5890
2,train,0.5995,0.8644,0.8665,0.8644,0.8626
2,val,0.6273,0.8493,0.8299,0.8493,0.8297
3,train,0.2917,0.9143,0.9148,0.9143,0.9140
3,val,0.3418,0.8996,0.9073,0.8996,0.8993
4,train,0.1866,0.9427,0.9434,0.9427,0.9430
4,val,0.2287,0.9247,0.9258,0.9247,0.9238
5,train,0.1288,0.9642,0.9644,0.9642,0.9642
5,val,0.2049,0.9380,0.9446,0.9380,0.9333
6,train,0.1061,0.9682,0.9685,0.9682,0.9682
6,val,0.1856,0.9453,0.9481,0.9453,0.9446
7,train,0.0649,0.9849,0.9851,0.9849,0.9849
7,val,0.2035,0.9439,0.9463,0.9439,0.9434
8,train,0.0552,0.9885,0.9886,0.9885,0.9885
8,val,0.1968,0.9394,0.9404,0.9394,0.9392
9,train,0.0500,0.9882,0.9882,0.9882,0.9882
9,val,0.2105,0.9439,0.9465,0.9439,0.9424
10,train,0.0296,0.9948,0.9948,0.9948,0.9948
10,val,0.2131,0.9424,0.9426,0.9424,0.9421
11,train,0.0295,0.9934,0.9934,0.9934,0.9934
11,val,0.2007,0.9483,0.9490,0.9483,0.9481
12,train,0.0255,0.9948,0.9949,0.9948,0.9948
12,val,0.2648,0.9335,0.9350,0.9335,0.9315
13,train,0.0222,0.9952,0.9952,0.9952,0.9952
13,val,0.2360,0.9424,0.9462,0.9424,0.9410
14,train,0.0272,0.9937,0.9938,0.9937,0.9937
14,val,0.2424,0.9380,0.9400,0.9380,0.9368
15,train,0.0234,0.9941,0.9941,0.9941,0.9941
15,val,0.2009,0.9542,0.9553,0.9542,0.9538
16,train,0.0247,0.9922,0.9923,0.9922,0.9922
16,val,0.2683,0.9483,0.9550,0.9483,0.9468
17,train,0.0194,0.9952,0.9953,0.9952,0.9952
17,val,0.2127,0.9542,0.9543,0.9542,0.9541
18,train,0.0147,0.9963,0.9963,0.9963,0.9963
18,val,0.1893,0.9616,0.9639,0.9616,0.9612
19,train,0.0186,0.9963,0.9963,0.9963,0.9963
19,val,0.2203,0.9513,0.9539,0.9513,0.9508
20,train,0.0133,0.9978,0.9978,0.9978,0.9978
20,val,0.2028,0.9572,0.9574,0.9572,0.9568
21,train,0.0171,0.9956,0.9956,0.9956,0.9956
21,val,0.2073,0.9542,0.9540,0.9542,0.9539
22,train,0.0105,0.9970,0.9971,0.9970,0.9970
22,val,0.1996,0.9557,0.9575,0.9557,0.9548
23,train,0.0136,0.9970,0.9971,0.9970,0.9970
23,val,0.2108,0.9572,0.9572,0.9572,0.9569
24,train,0.0084,0.9985,0.9985,0.9985,0.9985
24,val,0.2106,0.9513,0.9508,0.9513,0.9508
25,train,0.0079,0.9982,0.9982,0.9982,0.9982
25,val,0.2047,0.9527,0.9531,0.9527,0.9523
26,train,0.0089,0.9978,0.9978,0.9978,0.9978
26,val,0.2108,0.9527,0.9529,0.9527,0.9524
27,train,0.0123,0.9967,0.9967,0.9967,0.9967
27,val,0.1975,0.9572,0.9588,0.9572,0.9568
28,train,0.0099,0.9970,0.9970,0.9970,0.9970
28,val,0.1960,0.9572,0.9574,0.9572,0.9569
29,train,0.0123,0.9982,0.9982,0.9982,0.9982
29,val,0.2132,0.9498,0.9504,0.9498,0.9495
30,train,0.0087,0.9978,0.9978,0.9978,0.9978
30,val,0.2476,0.9498,0.9507,0.9498,0.9495
31,train,0.0109,0.9963,0.9963,0.9963,0.9963
31,val,0.2121,0.9572,0.9582,0.9572,0.9570
Evaluation Metrics:
Accuracy: 0.9453, Precision: 0.9481, Recall: 0.9453, F1 Score: 0.9446

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7875, Precision: 0.8375, Recall: 0.7875, F1 Score: 0.7741
Model Summary:
Total params: 41944760
Trainable params: 41944760
