Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.2251,0.7274,0.7506,0.7274,0.7310
1,val,0.3219,0.9188,0.9360,0.9188,0.9052
2,train,0.3221,0.9169,0.9171,0.9169,0.9168
2,val,0.2003,0.9321,0.9298,0.9321,0.9291
3,train,0.2102,0.9372,0.9371,0.9372,0.9369
3,val,0.1837,0.9291,0.9339,0.9291,0.9294
4,train,0.1449,0.9575,0.9574,0.9575,0.9574
4,val,0.1880,0.9439,0.9583,0.9439,0.9322
5,train,0.1096,0.9675,0.9675,0.9675,0.9675
5,val,0.1744,0.9365,0.9365,0.9365,0.9343
6,train,0.0694,0.9856,0.9856,0.9856,0.9856
6,val,0.1991,0.9306,0.9320,0.9306,0.9308
7,train,0.0626,0.9826,0.9827,0.9826,0.9826
7,val,0.2263,0.9350,0.9364,0.9350,0.9352
8,train,0.0414,0.9926,0.9926,0.9926,0.9926
8,val,0.2290,0.9350,0.9346,0.9350,0.9326
9,train,0.0331,0.9941,0.9941,0.9941,0.9941
9,val,0.2570,0.9365,0.9425,0.9365,0.9365
10,train,0.0304,0.9934,0.9934,0.9934,0.9933
10,val,0.2216,0.9424,0.9455,0.9424,0.9428
11,train,0.0305,0.9941,0.9942,0.9941,0.9941
11,val,0.2992,0.9409,0.9450,0.9409,0.9413
12,train,0.0219,0.9948,0.9948,0.9948,0.9948
12,val,0.2751,0.9276,0.9294,0.9276,0.9273
13,train,0.0192,0.9963,0.9963,0.9963,0.9963
13,val,0.3118,0.9261,0.9247,0.9261,0.9241
14,train,0.0215,0.9941,0.9941,0.9941,0.9941
14,val,0.2378,0.9409,0.9428,0.9409,0.9413
15,train,0.0164,0.9959,0.9960,0.9959,0.9959
15,val,0.2764,0.9380,0.9428,0.9380,0.9379
16,train,0.0171,0.9956,0.9956,0.9956,0.9956
16,val,0.2697,0.9380,0.9374,0.9380,0.9364
17,train,0.0153,0.9967,0.9967,0.9967,0.9967
17,val,0.2996,0.9439,0.9508,0.9439,0.9437
18,train,0.0116,0.9978,0.9978,0.9978,0.9978
18,val,0.2836,0.9350,0.9370,0.9350,0.9354
19,train,0.0131,0.9970,0.9971,0.9970,0.9970
19,val,0.3150,0.9321,0.9348,0.9321,0.9323
20,train,0.0079,0.9985,0.9985,0.9985,0.9985
20,val,0.3307,0.9409,0.9431,0.9409,0.9413
21,train,0.0205,0.9948,0.9948,0.9948,0.9948
21,val,0.3176,0.9409,0.9466,0.9409,0.9410
22,train,0.0089,0.9978,0.9978,0.9978,0.9978
22,val,0.3036,0.9335,0.9339,0.9335,0.9333
23,train,0.0145,0.9963,0.9963,0.9963,0.9963
23,val,0.3194,0.9306,0.9355,0.9306,0.9309
24,train,0.0074,0.9978,0.9978,0.9978,0.9978
24,val,0.3296,0.9409,0.9492,0.9409,0.9406
25,train,0.0129,0.9974,0.9974,0.9974,0.9974
25,val,0.3090,0.9394,0.9395,0.9394,0.9392
26,train,0.0096,0.9978,0.9978,0.9978,0.9978
26,val,0.2983,0.9365,0.9368,0.9365,0.9364
27,train,0.0095,0.9978,0.9978,0.9978,0.9978
27,val,0.3040,0.9350,0.9412,0.9350,0.9352
28,train,0.0029,0.9996,0.9996,0.9996,0.9996
28,val,0.2992,0.9350,0.9341,0.9350,0.9333
29,train,0.0083,0.9974,0.9974,0.9974,0.9974
29,val,0.3001,0.9394,0.9403,0.9394,0.9395
30,train,0.0119,0.9970,0.9970,0.9970,0.9970
30,val,0.3478,0.9335,0.9377,0.9335,0.9341
Evaluation Metrics:
Accuracy: 0.9365, Precision: 0.9365, Recall: 0.9365, F1 Score: 0.9343

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8250, Precision: 0.8557, Recall: 0.8250, F1 Score: 0.8183
Model Summary:
Total params: 10246696
Trainable params: 10246696
