Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.4633,0.6679,0.6952,0.6679,0.6595
1,val,0.9858,0.8035,0.8311,0.8035,0.7959
2,train,0.3812,0.9154,0.9158,0.9154,0.9153
2,val,0.4475,0.8863,0.8983,0.8863,0.8842
3,train,0.2033,0.9472,0.9470,0.9472,0.9470
3,val,0.2982,0.9158,0.9269,0.9158,0.9117
4,train,0.1394,0.9638,0.9639,0.9638,0.9637
4,val,0.2069,0.9306,0.9341,0.9306,0.9286
5,train,0.0858,0.9812,0.9812,0.9812,0.9811
5,val,0.1939,0.9409,0.9421,0.9409,0.9398
6,train,0.0603,0.9874,0.9875,0.9874,0.9874
6,val,0.1927,0.9306,0.9319,0.9306,0.9307
7,train,0.0415,0.9937,0.9938,0.9937,0.9937
7,val,0.2605,0.9306,0.9378,0.9306,0.9286
8,train,0.0357,0.9926,0.9927,0.9926,0.9926
8,val,0.2672,0.9232,0.9273,0.9232,0.9226
9,train,0.0391,0.9911,0.9912,0.9911,0.9911
9,val,0.1950,0.9468,0.9477,0.9468,0.9468
10,train,0.0308,0.9941,0.9941,0.9941,0.9941
10,val,0.2647,0.9350,0.9365,0.9350,0.9345
11,train,0.0222,0.9956,0.9956,0.9956,0.9956
11,val,0.2309,0.9350,0.9358,0.9350,0.9351
12,train,0.0116,0.9993,0.9993,0.9993,0.9993
12,val,0.2543,0.9409,0.9436,0.9409,0.9400
13,train,0.0150,0.9970,0.9971,0.9970,0.9970
13,val,0.2345,0.9453,0.9479,0.9453,0.9440
14,train,0.0133,0.9989,0.9989,0.9989,0.9989
14,val,0.2334,0.9380,0.9399,0.9380,0.9372
15,train,0.0129,0.9974,0.9974,0.9974,0.9974
15,val,0.2997,0.9365,0.9447,0.9365,0.9330
16,train,0.0115,0.9970,0.9971,0.9970,0.9970
16,val,0.2186,0.9498,0.9505,0.9498,0.9498
17,train,0.0128,0.9978,0.9978,0.9978,0.9978
17,val,0.2035,0.9424,0.9437,0.9424,0.9422
18,train,0.0118,0.9978,0.9978,0.9978,0.9978
18,val,0.2319,0.9453,0.9474,0.9453,0.9445
19,train,0.0092,0.9982,0.9982,0.9982,0.9982
19,val,0.2492,0.9394,0.9401,0.9394,0.9393
20,train,0.0112,0.9982,0.9982,0.9982,0.9982
20,val,0.2894,0.9350,0.9414,0.9350,0.9317
21,train,0.0083,0.9982,0.9982,0.9982,0.9982
21,val,0.2879,0.9350,0.9378,0.9350,0.9332
22,train,0.0068,0.9985,0.9985,0.9985,0.9985
22,val,0.2477,0.9453,0.9458,0.9453,0.9454
23,train,0.0053,0.9993,0.9993,0.9993,0.9993
23,val,0.3013,0.9424,0.9455,0.9424,0.9420
24,train,0.0044,0.9996,0.9996,0.9996,0.9996
24,val,0.2860,0.9365,0.9379,0.9365,0.9366
25,train,0.0081,0.9982,0.9982,0.9982,0.9982
25,val,0.2795,0.9380,0.9391,0.9380,0.9382
26,train,0.0084,0.9982,0.9982,0.9982,0.9982
26,val,0.2710,0.9291,0.9311,0.9291,0.9295
27,train,0.0066,0.9985,0.9985,0.9985,0.9985
27,val,0.2661,0.9380,0.9391,0.9380,0.9377
28,train,0.0086,0.9967,0.9967,0.9967,0.9967
28,val,0.2740,0.9380,0.9389,0.9380,0.9377
29,train,0.0035,0.9993,0.9993,0.9993,0.9993
29,val,0.3013,0.9350,0.9371,0.9350,0.9349
30,train,0.0070,0.9985,0.9985,0.9985,0.9985
30,val,0.3092,0.9335,0.9355,0.9335,0.9337
31,train,0.0098,0.9982,0.9982,0.9982,0.9982
31,val,0.2978,0.9468,0.9532,0.9468,0.9458
Evaluation Metrics:
Accuracy: 0.9306, Precision: 0.9319, Recall: 0.9306, F1 Score: 0.9307

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8150, Precision: 0.8439, Recall: 0.8150, F1 Score: 0.8140
Model Summary:
Total params: 14203016
Trainable params: 14203016
