Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.8775,0.1422,0.1343,0.1337,0.1180
1,val,2.5625,0.3530,0.4633,0.3530,0.3081
2,train,2.3835,0.3770,0.3348,0.3325,0.3024
2,val,1.7902,0.7164,0.7346,0.7164,0.6907
3,train,2.1310,0.4772,0.4514,0.4474,0.4310
3,val,1.3411,0.8301,0.8213,0.8301,0.8111
4,train,1.9631,0.5374,0.4862,0.4880,0.4833
4,val,1.1096,0.8671,0.8808,0.8671,0.8636
5,train,1.8160,0.5886,0.4346,0.4359,0.4340
5,val,0.9678,0.8907,0.9216,0.8907,0.8733
6,train,1.7172,0.6283,0.5653,0.5663,0.5645
6,val,0.9239,0.9025,0.9035,0.9025,0.9023
7,train,1.7063,0.6258,0.5395,0.5419,0.5399
7,val,0.8793,0.9129,0.9156,0.9129,0.9121
8,train,1.6623,0.6479,0.4876,0.4884,0.4869
8,val,0.8268,0.9129,0.9163,0.9129,0.9078
9,train,1.6072,0.6510,0.6108,0.6121,0.6108
9,val,0.8138,0.9291,0.9322,0.9291,0.9269
10,train,1.5741,0.6715,0.5754,0.5774,0.5760
10,val,0.8097,0.9232,0.9270,0.9232,0.9187
11,train,1.6448,0.6217,0.5140,0.5168,0.5149
11,val,0.7995,0.9335,0.9352,0.9335,0.9331
12,train,1.6670,0.6123,0.5712,0.5719,0.5707
12,val,0.8053,0.9247,0.9281,0.9247,0.9223
13,train,1.5379,0.6677,0.5052,0.5061,0.5051
13,val,0.7806,0.9335,0.9348,0.9335,0.9332
14,train,1.4442,0.7048,0.5174,0.5187,0.5177
14,val,0.7869,0.9291,0.9324,0.9291,0.9267
15,train,1.5419,0.6560,0.6074,0.6077,0.6071
15,val,0.8189,0.9261,0.9299,0.9261,0.9203
16,train,1.6205,0.6251,0.5191,0.5201,0.5190
16,val,0.7989,0.9424,0.9430,0.9424,0.9423
17,train,1.4270,0.6950,0.6262,0.6269,0.6257
17,val,0.7869,0.9483,0.9497,0.9483,0.9476
18,train,1.3911,0.7263,0.5916,0.5918,0.5912
18,val,0.7625,0.9468,0.9475,0.9468,0.9468
19,train,1.4479,0.6679,0.6028,0.6036,0.6026
19,val,0.7844,0.9498,0.9515,0.9498,0.9494
20,train,1.4076,0.7087,0.4553,0.4555,0.4550
20,val,0.7827,0.9335,0.9426,0.9335,0.9296
21,train,1.5397,0.6546,0.5844,0.5851,0.5841
21,val,0.8007,0.9335,0.9356,0.9335,0.9322
22,train,1.4395,0.7016,0.5783,0.5781,0.5777
22,val,0.7826,0.9394,0.9400,0.9394,0.9394
23,train,1.4862,0.6496,0.4847,0.4847,0.4841
23,val,0.7996,0.9483,0.9500,0.9483,0.9484
24,train,1.4414,0.7012,0.5432,0.5438,0.5432
24,val,0.8024,0.9498,0.9519,0.9498,0.9491
25,train,1.4299,0.6829,0.6972,0.6971,0.6966
25,val,0.7928,0.9380,0.9408,0.9380,0.9369
26,train,1.3834,0.7132,0.6136,0.6136,0.6130
26,val,0.8295,0.9321,0.9395,0.9321,0.9284
27,train,1.3860,0.7006,0.5085,0.5079,0.5078
27,val,0.7833,0.9453,0.9464,0.9453,0.9450
28,train,1.4390,0.6573,0.5256,0.5260,0.5252
28,val,0.8018,0.9453,0.9470,0.9453,0.9448
29,train,1.3937,0.6810,0.5527,0.5530,0.5521
29,val,0.7798,0.9498,0.9506,0.9498,0.9496
30,train,1.3654,0.6907,0.6911,0.6908,0.6903
30,val,0.8063,0.9409,0.9434,0.9409,0.9388
31,train,1.3433,0.7017,0.5864,0.5859,0.5858
31,val,0.7800,0.9468,0.9481,0.9468,0.9466
32,train,1.3995,0.6721,0.5438,0.5434,0.5432
32,val,0.7779,0.9513,0.9519,0.9513,0.9512
33,train,1.3673,0.6740,0.4783,0.4780,0.4779
33,val,0.7857,0.9513,0.9518,0.9513,0.9512
34,train,1.3371,0.7074,0.5982,0.5981,0.5978
34,val,0.7666,0.9557,0.9561,0.9557,0.9555
35,train,1.3511,0.6873,0.5500,0.5501,0.5497
35,val,0.7732,0.9513,0.9549,0.9513,0.9504
36,train,1.3919,0.6879,0.5658,0.5656,0.5653
36,val,0.7941,0.9439,0.9445,0.9439,0.9436
37,train,1.2476,0.7678,0.6130,0.6132,0.6129
37,val,0.7770,0.9468,0.9486,0.9468,0.9461
38,train,1.3015,0.7278,0.6786,0.6786,0.6783
38,val,0.7976,0.9424,0.9469,0.9424,0.9403
39,train,1.3065,0.7170,0.5394,0.5401,0.5394
39,val,0.7776,0.9542,0.9544,0.9542,0.9542
40,train,1.2927,0.7408,0.4821,0.4817,0.4815
40,val,0.7857,0.9542,0.9557,0.9542,0.9541
41,train,1.3483,0.7077,0.5956,0.5955,0.5953
41,val,0.7766,0.9542,0.9557,0.9542,0.9543
42,train,1.2584,0.7768,0.5997,0.5992,0.5993
42,val,0.7737,0.9527,0.9535,0.9527,0.9529
43,train,1.2924,0.7298,0.5134,0.5135,0.5130
43,val,0.7751,0.9542,0.9555,0.9542,0.9544
Evaluation Metrics:
Accuracy: 0.9468, Precision: 0.9475, Recall: 0.9468, F1 Score: 0.9468

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8400, Precision: 0.8862, Recall: 0.8400, F1 Score: 0.8390
Model Summary:
Total params: 64306824
Trainable params: 64,306,824
