Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,0.0155,0.2425,0.2858,0.2309,0.2283
1,val,0.1132,0.6381,0.6836,0.6381,0.6166
2,train,0.0131,0.5050,0.4262,0.4245,0.4123
2,val,0.0843,0.8434,0.8570,0.8434,0.8427
3,train,0.0132,0.5573,0.5089,0.5076,0.5048
3,val,0.0648,0.8996,0.9067,0.8996,0.8936
4,train,0.0124,0.5970,0.5772,0.5778,0.5764
4,val,0.0507,0.9424,0.9557,0.9424,0.9306
5,train,0.0158,0.6173,0.5501,0.5504,0.5495
5,val,0.0456,0.9468,0.9494,0.9468,0.9471
6,train,0.0091,0.6348,0.5399,0.5405,0.5398
6,val,0.0459,0.9498,0.9516,0.9498,0.9500
7,train,0.0097,0.6455,0.5550,0.5560,0.5549
7,val,0.0441,0.9483,0.9481,0.9483,0.9478
8,train,0.0102,0.6693,0.6082,0.6088,0.6080
8,val,0.0418,0.9557,0.9602,0.9557,0.9557
9,train,0.0091,0.6552,0.5691,0.5707,0.5693
9,val,0.0429,0.9616,0.9628,0.9616,0.9617
10,train,0.0113,0.6574,0.5558,0.5567,0.5558
10,val,0.0427,0.9350,0.9626,0.9350,0.9245
11,train,0.0114,0.6998,0.5559,0.5563,0.5557
11,val,0.0408,0.9572,0.9601,0.9572,0.9573
12,train,0.0111,0.6440,0.5484,0.5482,0.5471
12,val,0.0407,0.9513,0.9612,0.9513,0.9492
13,train,0.0116,0.6970,0.6291,0.6306,0.6294
13,val,0.0390,0.9498,0.9598,0.9498,0.9478
14,train,0.0171,0.6703,0.5719,0.5722,0.5716
14,val,0.0405,0.9513,0.9500,0.9513,0.9492
15,train,0.0099,0.6707,0.5015,0.5020,0.5012
15,val,0.0394,0.9498,0.9546,0.9498,0.9496
16,train,0.0125,0.6872,0.5149,0.5142,0.5139
16,val,0.0380,0.9557,0.9556,0.9557,0.9548
17,train,0.0104,0.6899,0.5911,0.5918,0.5906
17,val,0.0398,0.9498,0.9569,0.9498,0.9492
18,train,0.0087,0.6266,0.5907,0.5918,0.5904
18,val,0.0393,0.9631,0.9638,0.9631,0.9630
19,train,0.0063,0.7040,0.6248,0.6250,0.6245
19,val,0.0385,0.9586,0.9614,0.9586,0.9588
20,train,0.0100,0.6623,0.6579,0.6583,0.6577
20,val,0.0418,0.9380,0.9555,0.9380,0.9303
21,train,0.0082,0.6801,0.5102,0.5105,0.5098
21,val,0.0390,0.9601,0.9655,0.9601,0.9600
22,train,0.0118,0.6729,0.6410,0.6409,0.6403
22,val,0.0407,0.9542,0.9606,0.9542,0.9530
23,train,0.0123,0.6396,0.4982,0.4983,0.4976
23,val,0.0428,0.9424,0.9545,0.9424,0.9358
24,train,0.0093,0.7366,0.6241,0.6247,0.6241
24,val,0.0418,0.9527,0.9613,0.9527,0.9517
25,train,0.0090,0.6941,0.6236,0.6232,0.6230
25,val,0.0378,0.9513,0.9575,0.9513,0.9501
26,train,0.0100,0.6493,0.5330,0.5338,0.5329
26,val,0.0388,0.9645,0.9643,0.9645,0.9640
27,train,0.0119,0.6962,0.5485,0.5493,0.5485
27,val,0.0382,0.9631,0.9641,0.9631,0.9633
28,train,0.0126,0.6850,0.5227,0.5231,0.5224
28,val,0.0411,0.9601,0.9699,0.9601,0.9589
29,train,0.0080,0.6707,0.5014,0.5024,0.5013
29,val,0.0412,0.9572,0.9670,0.9572,0.9559
30,train,0.0106,0.7238,0.6069,0.6073,0.6065
30,val,0.0402,0.9616,0.9676,0.9616,0.9614
31,train,0.0139,0.7086,0.5121,0.5120,0.5117
31,val,0.0433,0.9498,0.9603,0.9498,0.9468
32,train,0.0135,0.6611,0.5186,0.5194,0.5184
32,val,0.0451,0.9468,0.9600,0.9468,0.9429
33,train,0.0116,0.6772,0.5562,0.5571,0.5563
33,val,0.0411,0.9631,0.9633,0.9631,0.9630
34,train,0.0126,0.7492,0.6147,0.6151,0.6147
34,val,0.0378,0.9616,0.9638,0.9616,0.9615
35,train,0.0085,0.6845,0.4846,0.4854,0.4844
35,val,0.0386,0.9660,0.9663,0.9660,0.9655
36,train,0.0123,0.7056,0.5795,0.5796,0.5792
36,val,0.0396,0.9572,0.9567,0.9572,0.9562
37,train,0.0068,0.7340,0.5896,0.5900,0.5894
37,val,0.0374,0.9660,0.9676,0.9660,0.9662
38,train,0.0112,0.6928,0.5600,0.5604,0.5598
38,val,0.0374,0.9616,0.9701,0.9616,0.9609
39,train,0.0085,0.7265,0.6006,0.5996,0.5995
39,val,0.0377,0.9572,0.9621,0.9572,0.9572
40,train,0.0055,0.6834,0.6211,0.6210,0.6206
40,val,0.0407,0.9616,0.9615,0.9616,0.9613
41,train,0.0100,0.6934,0.7062,0.7063,0.7052
41,val,0.0393,0.9660,0.9677,0.9660,0.9662
42,train,0.0091,0.7170,0.5106,0.5105,0.5102
42,val,0.0383,0.9586,0.9635,0.9586,0.9585
43,train,0.0126,0.7036,0.6261,0.6250,0.6249
43,val,0.0380,0.9601,0.9630,0.9601,0.9603
44,train,0.0109,0.6707,0.6241,0.6243,0.6237
44,val,0.0403,0.9572,0.9633,0.9572,0.9567
45,train,0.0106,0.7145,0.5718,0.5719,0.5715
45,val,0.0374,0.9645,0.9647,0.9645,0.9644
46,train,0.0116,0.7186,0.6902,0.6901,0.6895
46,val,0.0399,0.9586,0.9613,0.9586,0.9585
47,train,0.0075,0.6824,0.5700,0.5704,0.5692
47,val,0.0415,0.9616,0.9732,0.9616,0.9602
48,train,0.0079,0.7031,0.6093,0.6092,0.6089
48,val,0.0385,0.9660,0.9681,0.9660,0.9662
49,train,0.0066,0.6821,0.5824,0.5822,0.5817
49,val,0.0403,0.9660,0.9662,0.9660,0.9657
50,train,0.0118,0.7044,0.6128,0.6125,0.6124
50,val,0.0398,0.9631,0.9721,0.9631,0.9621
51,train,0.0118,0.6818,0.5488,0.5489,0.5484
51,val,0.0392,0.9660,0.9666,0.9660,0.9661
52,train,0.0109,0.6713,0.5512,0.5508,0.5503
52,val,0.0415,0.9660,0.9663,0.9660,0.9650
53,train,0.0092,0.7368,0.4987,0.4980,0.4979
53,val,0.0416,0.9601,0.9668,0.9601,0.9597
54,train,0.0069,0.6795,0.5886,0.5892,0.5885
54,val,0.0399,0.9586,0.9592,0.9586,0.9587
55,train,0.0063,0.7297,0.4805,0.4806,0.4800
55,val,0.0399,0.9616,0.9613,0.9616,0.9604
56,train,0.0116,0.7290,0.5630,0.5622,0.5623
56,val,0.0398,0.9601,0.9605,0.9601,0.9589
57,train,0.0105,0.7077,0.6046,0.6047,0.6040
57,val,0.0379,0.9586,0.9650,0.9586,0.9585
58,train,0.0115,0.6782,0.4896,0.4891,0.4889
58,val,0.0383,0.9616,0.9620,0.9616,0.9616
59,train,0.0106,0.6841,0.5607,0.5619,0.5607
59,val,0.0395,0.9645,0.9650,0.9645,0.9645
60,train,0.0136,0.7095,0.6373,0.6376,0.6369
60,val,0.0389,0.9586,0.9618,0.9586,0.9588
61,train,0.0101,0.7223,0.4707,0.4710,0.4707
61,val,0.0388,0.9631,0.9655,0.9631,0.9633
62,train,0.0093,0.7043,0.6141,0.6136,0.6135
62,val,0.0403,0.9601,0.9621,0.9601,0.9604
63,train,0.0104,0.7327,0.5289,0.5290,0.5287
63,val,0.0395,0.9601,0.9602,0.9601,0.9600
Evaluation Metrics:
Accuracy: 0.9616, Precision: 0.9701, Recall: 0.9616, F1 Score: 0.9609

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8250, Precision: 0.8523, Recall: 0.8250, F1 Score: 0.8210
Model Summary:
Total params: 14456456
Trainable params: 14456456
