Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.5242,0.3242,0.3603,0.3055,0.2936
1,val,1.4112,0.7947,0.8207,0.7947,0.7833
2,train,2.0100,0.5279,0.5119,0.4991,0.4927
2,val,1.0198,0.8833,0.9127,0.8833,0.8670
3,train,1.7376,0.6300,0.5331,0.5334,0.5316
3,val,0.9226,0.8892,0.9162,0.8892,0.8739
4,train,1.7934,0.6098,0.5595,0.5615,0.5591
4,val,0.9201,0.8966,0.8995,0.8966,0.8885
5,train,1.6990,0.6211,0.4816,0.4839,0.4823
5,val,0.8634,0.9055,0.8801,0.9055,0.8880
6,train,1.7253,0.6039,0.5053,0.5076,0.5057
6,val,0.8537,0.9188,0.9240,0.9188,0.9085
7,train,1.7488,0.5784,0.5004,0.5035,0.5012
7,val,0.8673,0.9158,0.9212,0.9158,0.9094
8,train,1.6234,0.6337,0.4785,0.4802,0.4788
8,val,0.8225,0.9247,0.9368,0.9247,0.9172
9,train,1.6425,0.6233,0.4691,0.4699,0.4688
9,val,0.8768,0.9114,0.9135,0.9114,0.9064
10,train,1.5515,0.6640,0.5064,0.5079,0.5066
10,val,0.8093,0.9380,0.9380,0.9380,0.9376
11,train,1.5789,0.6526,0.5501,0.5515,0.5502
11,val,0.8051,0.9321,0.9348,0.9321,0.9302
12,train,1.4823,0.6913,0.6139,0.6180,0.6150
12,val,0.7916,0.9335,0.9368,0.9335,0.9317
13,train,1.4810,0.6779,0.5630,0.5645,0.5632
13,val,0.7878,0.9409,0.9446,0.9409,0.9386
14,train,1.5135,0.6703,0.6023,0.6029,0.6021
14,val,0.7797,0.9453,0.9484,0.9453,0.9436
15,train,1.5095,0.6630,0.6093,0.6110,0.6096
15,val,0.7798,0.9483,0.9488,0.9483,0.9476
16,train,1.4341,0.6848,0.4607,0.4621,0.4608
16,val,0.7763,0.9513,0.9532,0.9513,0.9499
17,train,1.4843,0.6797,0.6147,0.6158,0.6145
17,val,0.7889,0.9513,0.9519,0.9513,0.9509
18,train,1.5025,0.6715,0.5262,0.5272,0.5260
18,val,0.7996,0.9424,0.9446,0.9424,0.9404
19,train,1.4755,0.6610,0.6255,0.6269,0.6253
19,val,0.8223,0.9350,0.9411,0.9350,0.9292
20,train,1.4319,0.6583,0.6200,0.6217,0.6201
20,val,0.7757,0.9498,0.9495,0.9498,0.9495
21,train,1.4551,0.6725,0.5294,0.5290,0.5283
21,val,0.8052,0.9439,0.9445,0.9439,0.9438
22,train,1.3053,0.7447,0.7068,0.7071,0.7064
22,val,0.8255,0.9261,0.9355,0.9261,0.9143
23,train,1.3755,0.7088,0.5476,0.5482,0.5475
23,val,0.7640,0.9483,0.9491,0.9483,0.9479
24,train,1.3760,0.7045,0.5861,0.5874,0.5862
24,val,0.7665,0.9483,0.9498,0.9483,0.9482
25,train,1.3188,0.7215,0.5781,0.5792,0.5781
25,val,0.8411,0.9247,0.9342,0.9247,0.9128
26,train,1.3879,0.6950,0.5890,0.5900,0.5891
26,val,0.7730,0.9542,0.9542,0.9542,0.9538
27,train,1.4280,0.6865,0.4788,0.4788,0.4782
27,val,0.8153,0.9365,0.9376,0.9365,0.9363
28,train,1.4415,0.6541,0.5479,0.5475,0.5471
28,val,0.8065,0.9424,0.9460,0.9424,0.9403
29,train,1.3932,0.6899,0.6754,0.6753,0.6747
29,val,0.7809,0.9498,0.9499,0.9498,0.9493
30,train,1.3598,0.7118,0.4634,0.4647,0.4638
30,val,0.7999,0.9453,0.9459,0.9453,0.9450
31,train,1.2863,0.7381,0.6972,0.6975,0.6967
31,val,0.7600,0.9572,0.9572,0.9572,0.9570
32,train,1.4541,0.6561,0.5127,0.5131,0.5126
32,val,0.8176,0.9424,0.9452,0.9424,0.9407
33,train,1.3576,0.6806,0.6573,0.6564,0.6560
33,val,0.7842,0.9409,0.9418,0.9409,0.9405
34,train,1.3281,0.7094,0.6067,0.6058,0.6058
34,val,0.8237,0.9335,0.9364,0.9335,0.9272
35,train,1.3307,0.6965,0.5383,0.5386,0.5381
35,val,0.7785,0.9468,0.9477,0.9468,0.9466
36,train,1.3448,0.7111,0.5202,0.5205,0.5200
36,val,0.8013,0.9380,0.9434,0.9380,0.9358
37,train,1.3436,0.6924,0.6545,0.6550,0.6541
37,val,0.7955,0.9483,0.9526,0.9483,0.9472
38,train,1.3051,0.7146,0.5803,0.5803,0.5799
38,val,0.7729,0.9453,0.9450,0.9453,0.9450
39,train,1.4102,0.6725,0.4781,0.4780,0.4776
39,val,0.8208,0.9483,0.9563,0.9483,0.9454
40,train,1.3848,0.6706,0.5802,0.5811,0.5802
40,val,0.7951,0.9424,0.9457,0.9424,0.9409
41,train,1.3206,0.7040,0.5482,0.5486,0.5479
41,val,0.7893,0.9527,0.9534,0.9527,0.9523
42,train,1.3654,0.6949,0.5374,0.5371,0.5367
42,val,0.7962,0.9513,0.9520,0.9513,0.9508
43,train,1.2660,0.7413,0.4689,0.4695,0.4691
43,val,0.7786,0.9439,0.9445,0.9439,0.9435
44,train,1.3236,0.7043,0.5804,0.5803,0.5802
44,val,0.7876,0.9527,0.9539,0.9527,0.9522
45,train,1.2808,0.7186,0.5068,0.5076,0.5068
45,val,0.7817,0.9483,0.9481,0.9483,0.9480
46,train,1.3614,0.6905,0.5685,0.5696,0.5683
46,val,0.7770,0.9557,0.9586,0.9557,0.9547
47,train,1.2697,0.7211,0.5049,0.5050,0.5046
47,val,0.7714,0.9468,0.9466,0.9468,0.9462
48,train,1.2906,0.7196,0.6362,0.6361,0.6357
48,val,0.7770,0.9542,0.9543,0.9542,0.9539
49,train,1.3064,0.6941,0.5102,0.5098,0.5095
49,val,0.7752,0.9498,0.9495,0.9498,0.9494
50,train,1.3682,0.6899,0.5021,0.5017,0.5013
50,val,0.8164,0.9468,0.9511,0.9468,0.9450
51,train,1.2643,0.7038,0.5733,0.5733,0.5728
51,val,0.7716,0.9527,0.9550,0.9527,0.9519
52,train,1.3295,0.6832,0.5104,0.5098,0.5096
52,val,0.7859,0.9453,0.9494,0.9453,0.9434
53,train,1.3096,0.7087,0.5372,0.5375,0.5370
53,val,0.7695,0.9513,0.9518,0.9513,0.9510
54,train,1.3039,0.7107,0.5465,0.5471,0.5465
54,val,0.7934,0.9513,0.9538,0.9513,0.9504
55,train,1.2931,0.7137,0.5080,0.5079,0.5077
55,val,0.7872,0.9453,0.9469,0.9453,0.9442
56,train,1.3104,0.6990,0.6041,0.6044,0.6035
56,val,0.7733,0.9572,0.9573,0.9572,0.9568
