Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.4416,0.3694,0.3315,0.3199,0.3048
1,val,1.3150,0.7888,0.8020,0.7888,0.7697
2,train,2.0270,0.5120,0.4714,0.4714,0.4651
2,val,0.9863,0.8804,0.8793,0.8804,0.8672
3,train,1.8005,0.6034,0.5802,0.5815,0.5795
3,val,0.9202,0.9010,0.9360,0.9010,0.8831
4,train,1.7657,0.6025,0.5829,0.5837,0.5827
4,val,0.8804,0.9129,0.9180,0.9129,0.9045
5,train,1.5486,0.7015,0.5659,0.5656,0.5652
5,val,0.8398,0.9158,0.9331,0.9158,0.9076
6,train,1.5698,0.6688,0.5682,0.5700,0.5686
6,val,0.8018,0.9321,0.9324,0.9321,0.9305
7,train,1.6027,0.6571,0.5781,0.5796,0.5779
7,val,0.8601,0.9232,0.9370,0.9232,0.9164
8,train,1.5776,0.6653,0.5835,0.5848,0.5838
8,val,0.8332,0.9232,0.9296,0.9232,0.9167
9,train,1.5700,0.6714,0.5304,0.5316,0.5306
9,val,0.8442,0.9232,0.9402,0.9232,0.9164
10,train,1.5112,0.6773,0.5524,0.5549,0.5532
10,val,0.8065,0.9158,0.9369,0.9158,0.9048
11,train,1.4308,0.7123,0.5787,0.5774,0.5771
11,val,0.7884,0.9202,0.9294,0.9202,0.9159
12,train,1.4370,0.7001,0.6966,0.6971,0.6961
12,val,0.7918,0.9394,0.9404,0.9394,0.9390
13,train,1.5315,0.6648,0.5129,0.5135,0.5125
13,val,0.8593,0.9099,0.9209,0.9099,0.9070
14,train,1.4259,0.7163,0.4948,0.4965,0.4953
14,val,0.8289,0.9261,0.9363,0.9261,0.9251
15,train,1.4822,0.6845,0.5640,0.5648,0.5640
15,val,0.8554,0.9202,0.9279,0.9202,0.9186
16,train,1.4370,0.7019,0.5396,0.5405,0.5397
16,val,0.7993,0.9439,0.9456,0.9439,0.9439
17,train,1.3626,0.7412,0.4994,0.5002,0.4996
17,val,0.7983,0.9394,0.9413,0.9394,0.9401
18,train,1.4396,0.6817,0.5604,0.5604,0.5600
18,val,0.8069,0.9380,0.9391,0.9380,0.9374
19,train,1.4336,0.6766,0.5766,0.5767,0.5761
19,val,0.7900,0.9394,0.9438,0.9394,0.9388
20,train,1.3487,0.7336,0.4660,0.4666,0.4661
20,val,0.8525,0.9291,0.9423,0.9291,0.9262
21,train,1.3916,0.7111,0.5925,0.5925,0.5921
21,val,0.8461,0.9173,0.9247,0.9173,0.9186
22,train,1.4825,0.6250,0.5075,0.5083,0.5075
22,val,0.8233,0.9439,0.9514,0.9439,0.9398
23,train,1.4773,0.6575,0.5568,0.5563,0.5559
23,val,0.8612,0.9291,0.9386,0.9291,0.9276
24,train,1.3390,0.7057,0.5955,0.5955,0.5949
24,val,0.7974,0.9424,0.9465,0.9424,0.9432
25,train,1.4133,0.6807,0.5954,0.5955,0.5948
25,val,0.8507,0.9439,0.9449,0.9439,0.9406
26,train,1.4038,0.6874,0.5027,0.5031,0.5025
26,val,0.8190,0.9409,0.9419,0.9409,0.9400
27,train,1.3640,0.6986,0.5589,0.5582,0.5581
27,val,0.8173,0.9394,0.9428,0.9394,0.9392
28,train,1.3431,0.7136,0.5746,0.5744,0.5741
28,val,0.7982,0.9350,0.9361,0.9350,0.9348
29,train,1.3093,0.7503,0.5260,0.5260,0.5258
29,val,0.7954,0.9468,0.9483,0.9468,0.9460
30,train,1.4183,0.6621,0.5776,0.5774,0.5770
30,val,0.8569,0.9261,0.9358,0.9261,0.9219
31,train,1.3041,0.7071,0.5651,0.5656,0.5651
31,val,0.7887,0.9468,0.9480,0.9468,0.9458
32,train,1.2907,0.7404,0.4992,0.4991,0.4988
32,val,0.8184,0.9557,0.9610,0.9557,0.9531
33,train,1.3530,0.6967,0.5467,0.5467,0.5463
33,val,0.8160,0.9439,0.9490,0.9439,0.9430
34,train,1.3517,0.6907,0.5239,0.5249,0.5239
34,val,0.7976,0.9453,0.9500,0.9453,0.9449
35,train,1.3336,0.7159,0.5873,0.5870,0.5863
35,val,0.8205,0.9498,0.9572,0.9498,0.9445
36,train,1.3824,0.6746,0.4843,0.4839,0.4837
36,val,0.8409,0.9321,0.9373,0.9321,0.9314
Evaluation Metrics:
Accuracy: 0.9202, Precision: 0.9294, Recall: 0.9202, F1 Score: 0.9159

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7500, Precision: 0.7809, Recall: 0.7500, F1 Score: 0.7276
Model Summary:
Total params: 26832552
Trainable params: 26832552
